"ref_id","source_seed","raw_citation","authors","title","year","doi","status","screening_paper_id","crossref_confidence","notes"
"snow_00101","LiuLLMAgents2026","","","SWE-benchLite","2024","","excluded_via_snowball","hash:49b47231988e","0.289","extraction:llm;crossref_no_match"
"snow_00102","LiuLLMAgents2026","","","syzbot","2024","","excluded_via_snowball","hash:4b5b002a97bc","0.354","extraction:llm;crossref_no_match"
"snow_00103","LiuLLMAgents2026","","","Syzkaller","2024","","excluded_via_snowball","hash:440cadcb9e84","0.354","extraction:llm;crossref_no_match"
"snow_00104","LiuLLMAgents2026","","","tree-sitter","2024","","excluded_via_snowball","hash:2ae31a86d652","0.816","extraction:llm;crossref_no_match"
"snow_00105","LiuLLMAgents2026","","Mohit Kumar Ahuja, Mohamed-Bachir Belaid, Pierre Bernabé, Mathieu Collet, Arnaud Gotlieb, Chhagan Lal, Dusica Marijan, Sagar Sen, Aizaz Sharif, Helge Spieker","Opening the Software Engineering Toolbox for the Assessment of Trustworthy AI","2020","","excluded_via_snowball","hash:2a79924c1b91","0.566","extraction:llm;crossref_no_match"
"snow_00106","LiuLLMAgents2026|WangAgenticProg2025","","Miltiadis Allamanis, Earl T. Barr, Premkumar T. Devanbu, Charles Sutton","A Survey of Machine Learning for Big Code and Naturalness","2018","10.1145/3212695","excluded_via_snowball","doi:10.1145/3212695","","extraction:llm"
"snow_00107","LiuLLMAgents2026","","Juan Altmayer Pizzorno, Emery D. Berger","Cover Up: Effective High Coverage Test Generation for Python","2025","10.1145/3729398","excluded_via_snowball","doi:10.1145/3729398","","extraction:llm"
"snow_00108","LiuLLMAgents2026","","Anthropic","Claude 3.5 Sonnet Model Card Addendum","2024","","excluded_via_snowball","hash:1162a294e155","","extraction:llm;crossref_no_match"
"snow_00109","LiuLLMAgents2026","","Mikio Aoyama","Agile Software Process Model","1997","10.1109/cmpsac.1997.625042","excluded_via_snowball","doi:10.1109/cmpsac.1997.625042","","extraction:llm"
"snow_00110","LiuLLMAgents2026","","Chetan Arora, John Grundy, Mohamed Abdelrazek","Advancing Requirements Engineering Through Generative AI: Assessing the Role of LLMs","2024","10.1007/978-3-031-55642-5_6","excluded_via_snowball","doi:10.1007/978-3-031-55642-5_6","","extraction:llm"
"snow_00111","LiuLLMAgents2026","","Ellen Arteca, Sebastian Harner, Michael Pradel, Frank Tip","Nessie: Automatically Testing JavaScript APIs with Asynchronous Callbacks","2022","10.1145/3510003.3510106","excluded_via_snowball","doi:10.1145/3510003.3510106","","extraction:llm"
"snow_00112","LiuLLMAgents2026","","Mohammadmehdi Ataei, Hyunmin Cheong, Daniele Grandi, Ye Wang, Nigel Morris, Alexander Tessier","Elicitron: A Large Language Model Agent-Based Simulation Framework for Design Requirements Elicitation","2025","10.1115/1.4067388","excluded_via_snowball","doi:10.1115/1.4067388","","extraction:llm"
"snow_00113","LiuLLMAgents2026|WangAgenticProg2025","","Jacob Austin, Augustus Odena, Maxwell I. Nye, Maarten Bosma, Henryk Michalewski, David Dohan, Ellen Jiang, Carrie J. Cai, Michael Terry, Quoc V. Le, Charles Sutton","Program Synthesis with Large Language Models","2021","arxiv:2108.07732","excluded_via_snowball","doi:arxiv:2108.07732","","extraction:llm"
"snow_00114","LiuLLMAgents2026","","Pavel Avgustinov, Oegede Moor, Michael Peyton Jones, Max Schäfer","QL: Object-oriented Queries on Relational Data","2016","10.4230/lipics.ecoop.2016.2","excluded_via_snowball","doi:10.4230/lipics.ecoop.2016.2","","extraction:llm"
"snow_00115","LiuLLMAgents2026","","Ramakrishna Bairi, Atharv Sonwane, Aditya Kanade, Vageesh D. C., Arun Iyer, Suresh Parthasarathy, Sriram K. Rajamani, Balasubramanyan Ashok, Shashank Shet","CodePlan: Repository-Level Coding using LLMs and Planning","2024","10.1145/3643757","already_in_corpus","","","extraction:llm"
"snow_00116","LiuLLMAgents2026","","Saikat Barua","Exploring Autonomous Agents through the Lens of Large Language Models: A Review","2024","10.48550/arxiv.2404.04442","excluded_via_snowball","doi:10.48550/arxiv.2404.04442","","extraction:llm"
"snow_00117","LiuLLMAgents2026","","Samuel Benton, Xia Li, Yiling Lou, Lingming Zhang","On the Effectiveness of Unified Debugging: An Extensive Study on 16 Program Repair Systems","2020","10.1145/3324884.3416566","excluded_via_snowball","doi:10.1145/3324884.3416566","","extraction:llm"
"snow_00118","LiuLLMAgents2026","","Samuel Benton, Xia Li, Yiling Lou, Lingming Zhang","Evaluating and Improving Unified Debugging","2022","10.1109/tse.2021.3125203","excluded_via_snowball","doi:10.1109/tse.2021.3125203","","extraction:llm"
"snow_00119","LiuLLMAgents2026","","Barry W. Boehm","A View of 20th and 21st Century Software Engineering","2006","10.1145/1134285.1134288","excluded_via_snowball","doi:10.1145/1134285.1134288","","extraction:llm"
"snow_00120","LiuLLMAgents2026","","Tim Boland, Paul E. Black","Juliet 1.1 C/C++ and Java Test Suite","2012","10.1109/mc.2012.345","excluded_via_snowball","doi:10.1109/mc.2012.345","","extraction:llm"
"snow_00121","LiuLLMAgents2026","","Grady Booch, Ivar Jacobson, James Rumbaugh, et al.","The Unified Modeling Language","1996","","excluded_via_snowball","hash:99d3a9685cfa","0.667","extraction:llm;crossref_no_match"
"snow_00122","LiuLLMAgents2026|OtoumAgenticSE2026","","Islem Bouzenia, Premkumar T. Devanbu, Michael Pradel","RepairAgent: An Autonomous, LLM-Based Agent for Program Repair","2025","10.1109/icse55347.2025.00157","excluded_via_snowball","doi:10.1109/icse55347.2025.00157","","extraction:llm"
"snow_00123","LiuLLMAgents2026","","Cameron Browne, Edward Jack Powley, Daniel Whitehouse, Simon M. Lucas, Peter I. Cowling, Philipp Rohlfshagen, Stephen Tavener, Diego Perez Liebana, Spyridon Samothrakis, Simon Colton","A Survey of Monte Carlo Tree Search Methods","2012","10.1109/tciaig.2012.2186810","excluded_via_snowball","doi:10.1109/tciaig.2012.2186810","","extraction:llm"
