"canonical_label","cluster_size","mode","confirmed_by","confirmed_at","source","notes","residuals_subcategory","residuals_subexplanation"
"Accelerated Independent Execution","2","5","TBS","2026-04-19T11:16:00+00:00","step4_llmassist","","",""
"Hallucination and Miscalibration Detection","10","4","TBS-step3","2026-04-19T10:55:34+00:00","step3","","",""
"Eroding Security Vigilance","2","4","TBS","2026-04-19T11:20:52+00:00","step4_llmassist","","",""
"Structural Framework Ideation","2","2","TBS","2026-04-19T11:29:35+00:00","step4_llmassist","","",""
"Reduced Idea Generation","1","r","TBS","2026-04-19T12:27:08+00:00","step4_llmassist","","outcome","Measures a specific effect on the user's ideation process and productivity."
"Positive User Sentiment","4","r","TBS-step3","2026-04-19T10:55:34+00:00","step3","","outcome","User satisfaction and sentiment are explicitly defined as outcome measurements."
"Streamlining Test Suite Execution","2","5","TBS","2026-04-19T11:29:32+00:00","step4_llmassist","","",""
"Automated Pre-Submission Evaluation","2","4","TBS","2026-04-19T11:17:17+00:00","step4_llmassist","","",""
"Automated Design Logic","2","5","TBS","2026-04-19T11:17:03+00:00","step4_llmassist","","",""
"Wordy And Robotic Output","2","r","TBS","2026-04-19T11:30:00+00:00","step4_llmassist","","outcome","Measures the qualitative effect and stylistic characteristics of the generated response."
"Specialist Manual Review","2","4","TBS","2026-04-19T11:29:24+00:00","step4_llmassist","","",""
"Insufficient Progress Details","1","r","TBS","2026-04-19T12:21:19+00:00","step4_llmassist","","constraint","A lack of system information that limits the user's understanding and constrains the interaction."
"Security Flaw Recognition Efficacy","3","r","TBS","2026-04-19T11:15:30+00:00","step4_llmassist","","outcome","Measures the accuracy and effectiveness of vulnerability detection as a result of the interaction."
"Goal Recognition Complexity","2","r","TBS","2026-04-19T11:24:41+00:00","step4_llmassist","","constraint","Difficulty in inference and comprehension acts as a limiting condition on the interaction."
"Impact On Accuracy Outcomes","4","r","TBS-step3","2026-04-19T10:55:34+00:00","step3","","outcome","Accuracy is explicitly defined as an outcome measurement."
"Differential Cognitive Performance Outcomes","4","r","TBS-step3","2026-04-19T10:55:34+00:00","step3","","outcome","Productivity and cognitive benefits are explicitly measured effects of the interaction."
"Favorable User Reception","2","r","TBS","2026-04-19T11:23:30+00:00","step4_llmassist","","outcome","User perception and feedback measure the satisfaction effect of the interaction."
"Navigating Initial Skill Acquisition","3","r","TBS","2026-04-19T11:15:18+00:00","step4_llmassist","","constraint","Skill gaps and learning curves are explicitly defined as constraints."
"Code Adoption Discrepancy","2","r","TBS","2026-04-19T11:18:23+00:00","step4_llmassist","","meta","Describes an adoption rate finding, which is a meta-observation about the phenomenon."
"Automated Test Oracle Synthesis","3","5","TBS-step3","2026-04-19T10:55:34+00:00","step3","","",""
"Diverse Software Polishing Methods","3","5","TBS-step3","2026-04-19T10:55:34+00:00","step3","","",""
"Automated Contextual Prompt Augmentation","4","2","TBS-step3","2026-04-19T10:55:34+00:00","step3","","",""
"Recursive Accuracy Refinement","2","5","TBS","2026-04-19T11:27:52+00:00","step4_llmassist","","",""
"Conversation Sentiment Dynamics","1","r","TBS","2026-04-19T12:06:38+00:00","step4_llmassist","","outcome","Measures the evolving effect of the interaction on user sentiment."
"Linguistic Intent Articulation","2","2","TBS","2026-04-19T11:26:56+00:00","step4_llmassist","","",""
"Restricted Contextual Capacity","3","r","TBS","2026-04-19T11:15:20+00:00","step4_llmassist","","constraint","Context window limitations are explicitly defined as constraints."
"Visual Parsing Complexity","1","3","TBS","2026-04-19T12:47:32+00:00","step4_llmassist","overrode LLM r -> 3","",""
"Regulating Cognitive Processing Demands","7","r","TBS-step3","2026-04-19T10:55:34+00:00","step3","","constraint","Cognitive load is explicitly defined as a constraint."
"Expanded Verification Scope","2","r","TBS","2026-04-19T11:21:28+00:00","step4_llmassist","","outcome","Improved test coverage is a measurable effect and outcome of the interaction."
"Uncovering Unanticipated Boundary Scenarios","2","4","TBS","2026-04-19T11:29:46+00:00","step4_llmassist","","",""
"Diminished AI Code Reliability","2","r","TBS","2026-04-19T11:19:30+00:00","step4_llmassist","","outcome","Measures the negative effect on code correctness and reliability."
"Low Explicit Feedback Rate","1","r","TBS","2026-04-19T12:23:44+00:00","step4_llmassist","","outcome","Measures the frequency of a specific user action, representing an interaction outcome."
"Automated Artifact Engineering","3","5","TBS-step3","2026-04-19T10:55:34+00:00","step3","","",""
"Facilitators Of Conceptual Clarity","2","r","TBS","2026-04-19T11:23:08+00:00","step4_llmassist","","outcome","Measures the effect on user comprehension and the factors driving that learning gain."
"Curbing AI over-reliance","3","4","TBS-step3","2026-04-19T10:55:34+00:00","step3","","",""
"Industrial Deployment Evaluation","1","r","TBS","2026-04-19T12:21:10+00:00","step4_llmassist","","meta","Describes a research methodology and evaluation framing rather than a direct interaction effect."
"Automating Repetitive Workflows","3","5","TBS-step3","2026-04-19T10:55:34+00:00","step3","","",""
"Automated Reflection Prompting","1","4","TBS","2026-04-19T11:59:06+00:00","step4_llmassist","","",""
"Minimizing Context Switching Costs","3","r","TBS","2026-04-19T11:15:13+00:00","step4_llmassist","","outcome","Measures the positive effect of reducing the cognitive and operational burden of switching contexts."
"Architectural Openness Expectations","2","4","TBS","2026-04-19T11:16:52+00:00","step4_llmassist","overrode LLM r -> 4","",""
"Automated Data Integrity Assurance","2","4","TBS","2026-04-19T11:17:01+00:00","step4_llmassist","","",""
"Dynamic Test Specification Probing","2","2","TBS","2026-04-19T11:19:36+00:00","step4_llmassist","","",""
"Equivalent Code Comprehensibility Perception","2","r","TBS","2026-04-19T11:20:41+00:00","step4_llmassist","","outcome","Measures the perceptual effect regarding how readable the generated code is compared to human code."
"Linguistic Proficiency Disparities","3","r","TBS","2026-04-19T11:15:07+00:00","step4_llmassist","","constraint","Describes a limiting condition where effectiveness is constrained by the specific programming language used."
"Automated Prompt Output Synthesis","2","2","TBS","2026-04-19T11:17:20+00:00","step4_llmassist","","",""
"Uncritical Trust and Miscomprehension","2","4","TBS","2026-04-19T11:29:47+00:00","step4_llmassist","","",""
"Struggles With Complex Architecture","1","r","TBS","2026-04-19T12:46:02+00:00","step4_llmassist","","constraint","Identifies a limiting condition where architectural complexity restricts the tool's effectiveness."
"Iterative Dialogue Steering","2","2","TBS","2026-04-19T11:25:56+00:00","step4_llmassist","","",""
"Escalated Review Effort","2","r","TBS","2026-04-19T11:21:22+00:00","step4_llmassist","","outcome","Measures the negative effect on velocity and workload during the code review process."
"Evaluating Realistic Change Integrity","2","4","TBS","2026-04-19T11:21:24+00:00","step4_llmassist","","",""
"Effective Targeted Structural Restructuring","2","r","TBS","2026-04-19T11:19:38+00:00","step4_llmassist","","outcome","Measures the successful effect and accuracy of localized code refactoring efforts."
"Synthetic Data Creation","2","5","TBS","2026-04-19T11:29:44+00:00","step4_llmassist","","",""
"Naturalness Improves Code Understanding","1","r","TBS","2026-04-19T12:24:24+00:00","step4_llmassist","","outcome","Measures the positive effect of code naturalness on user comprehension and learning gains."
"Team Formation Simulation","1","5","TBS","2026-04-19T12:46:31+00:00","step4_llmassist","","",""
"Unchecked Generated Code","1","4","TBS","2026-04-19T12:46:55+00:00","step4_llmassist","","",""
"Immediate Test Usability","1","r","TBS","2026-04-19T12:20:14+00:00","step4_llmassist","","outcome","Measures the immediate practical utility and readiness of generated tests."
"Reduced Pr Communication","1","r","TBS","2026-04-19T12:27:18+00:00","step4_llmassist","","outcome","Measures a specific effect on team collaboration and communication velocity."
"Hazards Of Excessive Dependency","2","r","TBS","2026-04-19T11:24:52+00:00","step4_llmassist","overrode LLM 4 -> r","outcome","Measures the negative behavioral effect and risks associated with over-relying on AI tools."
"Flawed Contextual Grounding","2","r","TBS","2026-04-19T11:24:04+00:00","step4_llmassist","","constraint","Describes a limiting condition where the system fails to utilize accurate or relevant context."
"Collective Multi-Agent Orchestration","2","5","TBS","2026-04-19T11:18:25+00:00","step4_llmassist","","",""
"Inequitable Role Distribution","2","5","TBS","2026-04-19T11:25:07+00:00","step4_llmassist","","",""
"Review Centric Workflow","2","4","TBS","2026-04-19T11:28:52+00:00","step4_llmassist","","",""
"Limited Prompt Engineering Efficacy","2","r","TBS","2026-04-19T11:26:51+00:00","step4_llmassist","","constraint","Describes a limiting condition where user prompting efforts fail to yield quality improvements."
"Knowledge Formalization Dynamics","2","2","TBS","2026-04-19T11:26:10+00:00","step4_llmassist","overrode LLM r -> 2","",""
"Single-Use Generated Code","1","r","TBS","2026-04-19T12:40:51+00:00","step4_llmassist","","outcome","Measures the utility effect where generated code is only viable for a single use."
"Zero Temperature Setting","1","r","TBS","2026-04-19T12:48:03+00:00","step4_llmassist","","affordance","Describes a specific tooling configuration that shapes the determinism of the AI's output."
"Contextual File Inclusion","1","r","TBS","2026-04-19T12:06:34+00:00","step4_llmassist","","affordance","Describes an enabling tooling feature that allows users to include specific files as context."
"Unnoticed Harmful Behavior","1","r","TBS","2026-04-19T12:46:57+00:00","step4_llmassist","","outcome","Measures the negative effect of users failing to detect erroneous or harmful AI outputs."
"Comparative Evaluation Strategies","2","4","TBS","2026-04-19T11:18:27+00:00","step4_llmassist","","",""
"Enhanced Programming Velocity","2","r","TBS","2026-04-19T11:20:05+00:00","step4_llmassist","","outcome","Measures a direct effect of the interaction, specifically an improvement in coding speed."
"Focus On Non-Functional Code","1","r","TBS","2026-04-19T12:16:54+00:00","step4_llmassist","","meta","Represents a research observation about the scope of the interaction rather than a direct effect."
"Session Persistence Issues","1","r","TBS","2026-04-19T12:40:39+00:00","step4_llmassist","","constraint","Describes a technical limitation or issue that restricts and constrains the interaction."
"Assessing LLM Efficacy","2","4","TBS","2026-04-19T11:16:57+00:00","step4_llmassist","","",""
"AI Assisted Code Comprehension","2","2","TBS","2026-04-19T11:15:47+00:00","step4_llmassist","","",""
"Preference For Hybrid Generation","1","r","TBS","2026-04-19T12:25:34+00:00","step4_llmassist","","meta","Describes a user preference and adoption driver, which is a meta-observation."
"Structural Framework Formulation","2","2","TBS","2026-04-19T11:29:34+00:00","step4_llmassist","","",""
"Prompting Time Distribution","1","r","TBS","2026-04-19T12:26:30+00:00","step4_llmassist","","meta","Represents a research measurement framing how time is distributed during the phenomenon."
"Error Logging And Search","1","2","TBS","2026-04-19T12:15:14+00:00","step4_llmassist","overrode LLM r -> 2","",""
"Strategy Variation By Interface","1","r","TBS","2026-04-19T12:45:49+00:00","step4_llmassist","","meta","Describes a research finding about how user strategies change across different interfaces."
"Reduced Investigation Time","1","r","TBS","2026-04-19T12:27:13+00:00","step4_llmassist","","outcome","Measures a specific positive effect of the interaction, namely the reduction in time spent."
"Industry Llm Adoption Survey","1","r","TBS","2026-04-19T12:21:13+00:00","step4_llmassist","","meta","Explicitly names a survey methodology and research framing for studying adoption."
"Specificity Tuning Issues","1","r","TBS","2026-04-19T12:44:40+00:00","step4_llmassist","","constraint","Describes a difficulty or limitation encountered that constrains the interaction."
"Conversational Interaction Modality","3","2","TBS-step3","2026-04-19T10:55:34+00:00","step3","","",""
"Bot-Supported Brainstorming","1","2","TBS","2026-04-19T11:59:43+00:00","step4_llmassist","","",""
"Time Spent On Bodies","1","r","TBS","2026-04-19T12:46:40+00:00","step4_llmassist","","meta","Represents a research measurement and meta-observation regarding where time is allocated."
"Student Skepticism Towards Ai","1","r","TBS","2026-04-19T12:46:08+00:00","step4_llmassist","","meta","Describes an attitude that acts as an adoption inhibitor, framing the phenomenon."
"High Frequency Of Insecure Code","1","r","TBS","2026-04-19T12:18:24+00:00","step4_llmassist","","outcome","Measures a negative effect or outcome, specifically the generation rate of insecure code."
"Prompting Improves Repair","1","r","TBS","2026-04-19T12:26:27+00:00","step4_llmassist","","outcome","Describes a measurable positive effect and improvement resulting from the interaction."
"Facilitating Initial Task Steps","2","r","TBS","2026-04-19T11:22:48+00:00","step4_llmassist","","affordance","Describes an enabling assistance or affordance that shapes how tasks are initiated."
"Compilation Errors","1","r","TBS","2026-04-19T12:04:47+00:00","step4_llmassist","","outcome","Represents a measurable negative outcome or error rate resulting from the interaction."
"End-to-End Software Synthesis","2","5","TBS","2026-04-19T11:19:42+00:00","step4_llmassist","","",""
"Training Data Memorisation","1","r","TBS","2026-04-19T12:46:50+00:00","step4_llmassist","","meta","Describes a meta-observation about model behavior and properties rather than a user interaction effect."
"Collegial Interaction","1","2","TBS","2026-04-19T12:04:22+00:00","step4_llmassist","","",""
"Zero-Touch Code Generation","1","5","TBS","2026-04-19T12:48:11+00:00","step4_llmassist","","",""
"Reduced Ai Use In Pp","1","r","TBS","2026-04-19T12:27:02+00:00","step4_llmassist","","meta","Describes a research finding about adoption and usage rates in a specific context."
"Time-Saving Via Summaries","1","r","TBS","2026-04-19T12:46:42+00:00","step4_llmassist","","outcome","Measures a positive effect of the interaction, specifically the benefit of saving time."
"Natural Language Data Entry","2","2","TBS","2026-04-19T11:27:26+00:00","step4_llmassist","","",""
"Time Reduction Benefit","1","r","TBS","2026-04-19T12:46:38+00:00","step4_llmassist","","outcome","Explicitly describes a measurable benefit and positive effect of the interaction."
"Review And Edit","1","4","TBS","2026-04-19T12:39:41+00:00","step4_llmassist","","",""
"Reduced Ownership Feeling","1","r","TBS","2026-04-19T12:27:14+00:00","step4_llmassist","","outcome","Measures a psychological effect or sentiment outcome resulting from the interaction."
"Security Boundary Setting","1","r","TBS","2026-04-19T12:40:19+00:00","step4_llmassist","","constraint","Describes a limiting condition that restricts the scope and permissions of the interaction."
"Expediting Routine Syntax Construction","2","r","TBS","2026-04-19T11:22:16+00:00","step4_llmassist","","outcome","Measures the positive effect on engineering velocity and productivity when generating boilerplate code."
"Aligning User Trust Levels","2","4","TBS","2026-04-19T11:16:27+00:00","step4_llmassist","","",""
"Transparency Fostering User Confidence","2","r","TBS","2026-04-19T11:29:45+00:00","step4_llmassist","","outcome","Measures the positive effect on user sentiment, trust, and satisfaction."
"Reduced Intellectual Engagement","1","r","TBS","2026-04-19T12:27:11+00:00","step4_llmassist","","outcome","Measures a negative cognitive effect and potential learning loss resulting from the interaction."
"Verification Difficulty For Novices","1","4","TBS","2026-04-19T12:47:11+00:00","step4_llmassist","","",""
"Privacy And Permission Concerns","1","r","TBS","2026-04-19T12:25:43+00:00","step4_llmassist","","meta","Describes an adoption inhibitor based on user apprehensions rather than a direct measurement."
"Manual Interference Causes Errors","1","r","TBS","2026-04-19T12:23:55+00:00","step4_llmassist","","outcome","Measures the negative effect on accuracy when manual interventions introduce errors."
"Web Ui Usage","1","r","TBS","2026-04-19T12:47:48+00:00","step4_llmassist","","affordance","Describes an enabling surface and interface that shapes how users interact with the system."
"Framework Specific Proficiency","2","r","TBS","2026-04-19T11:24:21+00:00","step4_llmassist","","outcome","Measures the accuracy and performance outcomes based on the specific framework being used."
"Unintended Code Modification","1","r","TBS","2026-04-19T12:46:56+00:00","step4_llmassist","","outcome","Measures a negative effect where the interaction results in erroneous or unwanted code changes."
"Significant Fix Effort","1","r","TBS","2026-04-19T12:40:46+00:00","step4_llmassist","","outcome","Measures the negative effect on productivity due to the effort required to correct issues."
"Tactic Detection Limits","1","r","TBS","2026-04-19T12:46:20+00:00","step4_llmassist","","constraint","Describes a limiting condition that restricts the system's ability to detect certain tactics."
"Context-Injected Orchestration","1","5","TBS","2026-04-19T12:06:32+00:00","step4_llmassist","","",""
"Zero-Shot Type Typing Failure","1","r","TBS","2026-04-19T12:48:07+00:00","step4_llmassist","","outcome","Measures a specific error outcome and accuracy failure in zero-shot scenarios."
"Llm Comment Distribution","1","r","TBS","2026-04-19T12:22:50+00:00","step4_llmassist","","meta","Represents a research observation and statistical finding about how generated comments are distributed."
