"canonical_label","pass1_codes","in_vivo_codes","passage_ids","cluster_size","confirmed_by","confirmed_at","notes"
"Demonstrated Competency Advancement","[""Improved learning outcomes"", ""Skill improvement""]","[""gained the necessary knowledge and practical experience"", ""significantly improved users' secure coding skills""]","[""doi:10.1002/cae.70177:P002"", ""doi:10.29207/resti.v9i2.6012:P001""]","2","TBS","2026-04-18T14:18:16+00:00",""
"Protracted Troubleshooting Cycles","[""Costly error fixing"", ""Iterative error repair""]","[""stuck in a debugging rabbit hole"", ""fixing compilation errors""]","[""doi:10.1145/3491101.3519665:P003"", ""doi:10.1109/ase63991.2025.00223:P002""]","2","TBS","2026-04-18T14:20:12+00:00",""
"Sustained Dialogue Proficiency","[""Contextual conversation memory"", ""Core conversational effectiveness""]","[""maintain a memory of past conversations"", ""appreciated the core conversational capabilities""]","[""doi:10.1038/s41598-025-98378-1:P003"", ""doi:10.1145/3708319.3733810:P003""]","2","TBS","2026-04-18T14:26:22+00:00",""
"Automated Multidimensional Feedback Generation","[""Automated Feedback Generation"", ""Automated text feedback"", ""Multidimensional automated feedback""]","[""code review system"", ""critically analyze the responses"", ""provide fine-grained feedback""]","[""doi:10.1109/access.2025.3581139:P001"", ""doi:10.1016/j.caeai.2024.100347:P003"", ""doi:10.1145/3774752:P002""]","3","TBS","2026-04-18T13:08:45+00:00",""
"Minimalist Interaction Prioritization","[""Preference for simple prompts"", ""Prompt Efficiency"", ""Single prompt limitations""]","[""clear preference for Zero-Shot prompting"", ""reproduce in one shot"", ""single run of an LLM""]","[""doi:10.1145/3756681.3756938:P002"", ""doi:10.1109/cascon66301.2025.00068:P004"", ""doi:10.1145/3491101.3519729:P001""]","3","TBS","2026-04-18T13:09:20+00:00",""
"Unpredictable Generative Outputs","[""LLM Non-determinism"", ""Non-determinism threat""]","[""produce varied responses for exact same queries"", ""threat of non-determinism""]","[""doi:10.1145/3593434.3593468:P003"", ""doi:10.1145/3697010:P001""]","2","TBS","2026-04-18T14:30:17+00:00",""
"Syntax Proficiency Support","[""Syntax automation and logic focus"", ""Syntax learning assistance""]","[""speeds up writing codes"", ""helps learning syntax""]","[""doi:10.1007/s10664-025-10730-1:P001"", ""doi:10.1109/compsac61105.2024.00252:P002""]","2","TBS","2026-04-18T14:31:11+00:00",""
"Software Defect Remediation","[""Code debugging assistance"", ""Debugging Use Case""]","[""locating bugs, making necessary fixes, and handling errors"", ""fix bugs""]","[""doi:10.1109/icst60714.2024.00039:P004"", ""doi:10.1142/s0218194023410048:P003""]","2","TBS","2026-04-18T14:34:26+00:00",""
"Survey Research Procedures","[""Survey Data Collection"", ""Survey Evaluation"", ""Survey methodology""]","[""distributed questionnaires"", ""complete a survey"", ""comprehensive survey to investigate key factors""]","[""doi:10.1145/3663529.3663801:P001"", ""doi:10.1109/educon62633.2025.11016313:P002"", ""doi:10.1145/3707640.3731915:P002""]","3","TBS","2026-04-18T13:27:31+00:00",""
"Recursive Inquiry Optimization","[""Iterative knowledge refinement"", ""Iterative query refinement""]","[""update the document based on past documents and current observations"", ""iterative investigation through successive queries""]","[""doi:10.1145/3706598.3713600:P003"", ""doi:10.14778/3750601.3750610:P001""]","2","TBS","2026-04-18T14:34:40+00:00",""
"Perceived Reliability and Utility","[""Low trust in generation"", ""Perceived usefulness of generation""]","[""lower levels of trust"", ""thinking highly of automatically generating message subjects""]","[""doi:10.1145/3660788:P004"", ""doi:10.1109/tse.2024.3364675:P003""]","2","TBS","2026-04-18T14:35:07+00:00",""
"Context-Aware Code Processing","[""Contextual code prompting"", ""Contextual code summarization""]","[""copy existing code as large prompts"", ""high-level, purpose-driven explanations of code""]","[""doi:10.1145/3643991.3645073:P003"", ""doi:10.1109/asew67777.2025.00011:P001""]","2","TBS","2026-04-18T14:38:26+00:00",""
"Manual Clipboard Operations","[""Copy-paste interaction"", ""GUI copy-paste workflow""]","[""copy and paste code fragments"", ""copy and paste each assignment text""]","[""doi:10.1145/3643991.3645081:P001"", ""doi:10.1553/giscience2023_01_s140:P001""]","2","TBS","2026-04-18T14:38:42+00:00",""
"Learner Perception Evaluations","[""Student Likert evaluation"", ""Student evaluation study""]","[""rated generated explanations"", ""interviewing 83 undergraduate and graduate students"", ""case study involved 39 students""]","[""doi:10.5815/ijmecs.2025.05.07:P001"", ""doi:10.1016/j.caeai.2024.100347:P001"", ""doi:10.9781/ijimai.2025.09.005:P001""]","2","TBS","2026-04-18T14:39:05+00:00",""
"Multilingual Syntax Transformation","[""Code Translation"", ""Cross-lingual code generation""]","[""automatically translate code snippets across languages"", ""translate Sinhala programming queries into Java code""]","[""doi:10.1145/3643991.3644918:P001"", ""doi:10.7763/ijcte.2025.v17.1378:P001""]","2","TBS","2026-04-18T14:42:49+00:00",""
"Feedback Reliability and Precision","[""Accurate review feedback"", ""feedback accuracy challenges""]","[""complete and correct answers, containing valid argumentation"", ""concerns were raised about feedback accuracy""]","[""doi:10.1080/10447318.2023.2269006:P004"", ""doi:10.1145/3770762.3772662:P001""]","2","TBS","2026-04-18T14:43:49+00:00",""
"Restricted Contextual Scope","[""Context Limitations"", ""Context Memory Limitations"", ""Context limitation challenges"", ""Contextual UI limitations"", ""Contextual limitation""]","[""require external context"", ""fall into a local dilemma"", ""struggles with complex backend inter-dependencies"", ""more context awareness by providing more specific code snippets"", ""lack of context in the suggestions""]","[""doi:10.1109/saner64311.2025.00070:P004"", ""doi:10.1145/3597503.3639180:P002"", ""doi:10.1109/saner64311.2025.00015:P004"", ""doi:10.1145/3696630.3728611:P005"", ""doi:10.1145/3639477.3643648:P003""]","5","TBS","2026-04-18T12:59:09+00:00",""
"Prioritizing Quality Over Volume","[""Data quality over quantity"", ""Low-quality input data""]","[""smaller data did not negatively impact"", ""ambiguity and lack clarity""]","[""doi:10.1109/msr66628.2025.00043:P002"", ""doi:10.54364/aaiml.2024.44171:P003""]","2","TBS","2026-04-18T14:44:08+00:00",""
"Prompt-Centric Visual Interaction","[""Open-ended prompt interaction"", ""Prompt breakdown"", ""Prompt-based interaction"", ""Visual UI for prompts""]","[""freely express their requirements"", ""107 prompts"", ""prompt-driven evaluation approach"", ""visual analytics system""]","[""doi:10.1145/3715014.3722064:P001"", ""doi:10.3390/electronics15040903:P001"", ""doi:10.5815/ijmecs.2026.02.05:P002"", ""doi:10.1109/tvcg.2025.3535332:P001""]","4","TBS","2026-04-18T13:01:07+00:00",""
"Iterative Troubleshooting Methodologies","[""Active debugging guidance"", ""Automated debugging"", ""Debugging workflows"", ""Iterative debugging approach""]","[""actively guide students through diagnosing and fixing their own code"", ""identified and corrected two errors"", ""expert debugging patterns"", ""combination of manual inspection with re-prompting""]","[""doi:10.1145/3769994.3769997:P001"", ""doi:10.1553/giscience2023_01_s140:P002"", ""doi:10.1145/3772318.3790874:P003"", ""doi:10.1007/s10664-025-10614-4:P003""]","4","TBS","2026-04-18T13:01:11+00:00",""
"Verifying AI Conceptual Insights","[""Assessing AI suggestions"", ""Idea validation via AI""]","[""assessing suggestions"", ""validation of their thoughts""]","[""doi:10.1145/3582083:P002"", ""doi:10.1145/3706599.3720193:P004""]","2","TBS","2026-04-18T14:46:09+00:00",""
"Automating Defect Reproduction Workflows","[""Autonomous bug replay"", ""Demonstrating automated replay"", ""Tedious manual replay""]","[""fully automated bug replay tool"", ""showcased the bug replay automatically generated"", ""tedious and time-consuming""]","[""doi:10.1145/3597503.3608137:P001"", ""doi:10.1145/3597503.3608137:P002"", ""doi:10.1145/3597503.3608137:P005""]","3","TBS","2026-04-18T13:28:37+00:00",""
"Optimizing Defect Correction Processes","[""Debugging efficiency"", ""Debugging tool limitations"", ""Reduced debugging time"", ""enhanced debugging performance""]","[""helped them complete the debugging task more efficiently"", ""mismatches between existing debugging tools and users’ needs"", ""reduce debugging time"", ""reduce the time for fixing semantic mistakes"", ""improvement in bug resolution""]","[""doi:10.1109/fie63693.2025.11328290:P002"", ""doi:10.1145/3772363.3798531:P001"", ""doi:10.1109/dsd67783.2025.00025:P003"", ""doi:10.1145/3611643.3616322:P001"", ""doi:10.1109/vl/hcc60511.2024.00011:P002""]","4","TBS","2026-04-18T13:01:14+00:00",""
"Anthropomorphic Navigation Failures","[""Human-like UI interactions"", ""UI interaction breakdown""]","[""mimicking human-like interactions"", ""Focus doesn't work""]","[""doi:10.1145/3706598.3713600:P001"", ""doi:10.1109/ase63991.2025.00024:P004""]","2","TBS","2026-04-19T02:07:17+00:00",""
"Structured Sequential Prompting","[""Multi-step prompt chain"", ""Path-based prompt construction""]","[""Differential Prompting"", ""path analysis of the focal method""]","[""doi:10.1109/ase56229.2023.00089:P003"", ""doi:10.1109/ase63991.2025.00223:P001""]","2","TBS","2026-04-19T02:23:22+00:00",""
"Facilitating Preliminary Schematic Ideation","[""Architecture design support"", ""Early-stage design support""]","[""supporting architects through various stages of architectural development"", ""valuable for early-stage design exploration, rapid iteration, and stakeholder alignment""]","[""doi:10.1109/csecs64665.2025.11009821:P001"", ""doi:10.1145/3772363.3798543:P002""]","2","TBS","2026-04-19T02:23:26+00:00",""
"Automated Test Script Engineering","[""Automated Web Testing"", ""Automated test code update"", ""Automated test writing"", ""Test automation scripting""]","[""intent-driven testing"", ""automate method-level obsolete test code updates"", ""writing repetitive tests"", ""writing code and scripts for automating test cases""]","[""doi:10.1109/compsac65507.2025.00161:P001"", ""doi:10.1109/ase63991.2025.00046:P001"", ""doi:10.18293/seke2023-077:P006"", ""doi:10.1109/icst60714.2024.00039:P003""]","4","TBS","2026-04-18T13:01:34+00:00",""
"Operational Labor Demands","[""Effort overhead"", ""Manual effort reduction""]","[""imposed additional effort instead of reducing it"", ""data-entry work reduced by ~90%""]","[""doi:10.1109/vl-hcc65237.2025.00034:P004"", ""doi:10.7764/ric.00164.21:P003""]","2","tbs","2026-04-19T02:40:15+00:00",""
"Adoption Drivers And Inhibitors","[""Adoption Motivations"", ""Adoption barriers"", ""Adoption conditions""]","[""underlying motivations encouraging practitioners to adopt"", ""Organizational resistance"", ""maintained high accuracy and transparency""]","[""doi:10.1145/3696630.3731667:P001"", ""doi:10.5815/ijitcs.2023.06.03:P004"", ""doi:10.1007/s00766-026-00457-w:P004""]","3","TBS","2026-04-18T13:28:51+00:00",""
"Automated Software Synthesis Tasks","[""Code Generation and Explanation"", ""Concise Code Generation"", ""UI Code Generation""]","[""generate and explain robot programs"", ""passed the quantitative test for concise code"", ""UI suggestions""]","[""doi:10.1109/vl/hcc60511.2024.00020:P001"", ""doi:10.28945/5362:P001"", ""doi:10.14569/ijacsa.2024.0150168:P004""]","3","TBS","2026-04-18T13:32:38+00:00",""
"Validation Driven Software Optimization","[""Test-based code verification"", ""Testing and code optimization""]","[""check AI generated code through user-approved tests"", ""create tests""]","[""doi:10.1109/tse.2024.3428972:P004"", ""doi:10.18421/tem134-10:P004""]","2","tbs","2026-04-19T02:41:10+00:00",""
"Zero Temperature Non-Determinism","[""Zero temperature non-determinism""]","[""temperature to 0 does not guarantee determinism""]","[""doi:10.1145/3697010:P002""]","1","auto-singleton","2026-04-18T07:27:37+00:00",""
"Integrated Development Tooling Workflows","[""Desire for IDE integration"", ""IDE integration benefits"", ""IDE integration issues"", ""IDE-integrated models"", ""ide diagnostic integration""]","[""embedding it as a plugin in the IDE"", ""excel in unit test generation within IDEs"", ""difficulty of integration"", ""IDE environments"", ""appear in the IDE as diagnostics""]","[""doi:10.1109/icse55347.2025.00138:P004"", ""doi:10.1109/iaict65714.2025.11101520:P004"", ""doi:10.18293/seke2023-077:P003"", ""doi:10.1109/tse.2026.3651566:P003"", ""doi:10.1145/3664646.3665664:P002""]","5","TBS","2026-04-18T12:59:18+00:00",""
"Manual Effort Intensity","[""Increased manual interventions"", ""Reduced Human Intervention""]","[""significantly higher engagement"", ""significantly fewer human interactions and interventions""]","[""doi:10.1145/3746059.3747778:P003"", ""doi:10.1109/trustcom66490.2025.00026:P002""]","2","TBS","2026-04-19T02:45:43+00:00",""
"Managing Model Output Veracity","[""AI error correction"", ""AI response accuracy"", ""Concerns regarding AI accuracy""]","[""rapidly pass error messages to the AI"", ""for ChatGPT this number is ~71%"", ""reliability, accuracy, and consistency""]","[""doi:10.1109/isec64801.2025.11147402:P002"", ""doi:10.1109/rew57809.2023.00048:P003"", ""doi:10.1109/icsme58944.2024.00045:P004""]","3","TBS","2026-04-18T13:33:00+00:00",""
"Superficial Verification of Errors","[""Reduced suggestion scrutiny"", ""Suggestion quality issues""]","[""accept GitHub Copilot’s suggestions with less scrutiny"", ""redundant, incomplete, or buggy outputs""]","[""doi:10.1109/ase63991.2025.00022:P002"", ""doi:10.1109/ase63991.2025.00024:P001""]","2","TBS","2026-04-19T02:47:00+00:00",""
"Accelerated Engineering Velocity","[""Development time reduction"", ""Increased development speed"", ""Reduced Development Time"", ""Reduced development overhead""]","[""reduces the time required"", ""took significantly less time"", ""substantial reduction in development effort"", ""saving time and effort""]","[""doi:10.1145/3678719.3685691:P002"", ""doi:10.1145/3638247:P003"", ""doi:10.14569/ijacsa.2025.0161190:P001"", ""doi:10.1145/3687272.3688296:P003""]","4","TBS","2026-04-18T13:01:42+00:00",""
"Eroded Human Accountability","[""Disrupted accountability"", ""Human accountability""]","[""absence of reciprocity"", ""cop out to blame the AI""]","[""doi:10.1145/3721127:P001"", ""doi:10.1145/3772363.3799079:P003""]","2","TBS","2026-04-19T02:47:12+00:00",""
"Comparative Code Quality Assessment","[""Code Quality Evaluation"", ""Code Quality Issues"", ""Code quality parity"", ""Improved code quality""]","[""comparison with human-generated code"", ""poor quality of generated code"", ""no significant difference in the quality and correctness"", ""code quality improvement""]","[""doi:10.1109/c358072.2023.10436306:P002"", ""doi:10.1142/s0218194023410048:P005"", ""doi:10.1145/3643795.3648379:P004"", ""doi:10.1109/icse-seip66354.2025.00043:P003""]","4","TBS","2026-04-18T13:01:47+00:00",""
"Urgent Full Task Offloading","[""Deadline-driven delegation"", ""complete delegation""]","[""survival at that point"", ""relied on ChatGPT to do everything for them""]","[""doi:10.1186/s40594-025-00592-w:P001"", ""doi:10.1145/3643758:P002""]","2","TBS","2026-04-19T02:47:21+00:00",""
"Erosion of Contextual Continuity","[""Context retention failure"", ""Dependency context loss"", ""Long-term context loss""]","[""fail to retain or fetch relevant context"", ""fail to recognize dependencies"", ""contextual alignment across sprints""]","[""doi:10.1109/ase63991.2025.00024:P003"", ""doi:10.1109/cseet62301.2024.10662994:P002"", ""doi:10.5152/electrica.2026.25033:P006""]","3","TBS","2026-04-18T13:34:06+00:00",""
"Collaborative AI Programming Workflow","[""AI code review tool"", ""Drafting code with AI"", ""Human review of AI code""]","[""relies on ChatGPT for code-reviewing"", ""very good starting point"", ""gone over by a professional""]","[""doi:10.1080/10447318.2023.2269006:P003"", ""doi:10.1145/3658644.3690283:P001"", ""doi:10.1145/3658644.3690283:P002""]","3","TBS","2026-04-18T13:34:28+00:00",""
"Instructional Placement Advantages","[""Direct instruction benefits"", ""Instruction positioning benefits""]","[""flexibility and ease of specification"", ""mitigates information decay""]","[""doi:10.1109/vl-hcc65237.2025.00017:P003"", ""doi:10.1145/3696630.3728533:P005""]","2","TBS","2026-04-19T02:53:05+00:00",""
"Contextual Code Synthesis Efficacy","[""Context-aware code generation"", ""Irrelevant Code Generation"", ""Proactive code generation"", ""Unreliable code generation""]","[""accurately grasped the context"", ""out-of-context code"", ""a couple steps ahead of me"", ""fail to produce code""]","[""doi:10.1145/3644815.3644949:P002"", ""doi:10.1109/icimtech67074.2025.11264926:P001"", ""doi:10.1145/3706598.3714008:P004"", ""doi:10.1145/3773274.3774686:P003""]","4","TBS","2026-04-18T13:01:51+00:00",""
"Automated Software Asset Synthesis","[""Generating code and docs"", ""PHP Code Generation""]","[""Generating initial code"", ""generate a PHP based CRUD"", ""Generating code and docs"", ""PHP Code Generation""]","[""doi:10.18421/tem134-10:P002"", ""doi:10.1109/icodse68111.2025.11351822:P001""]","2","AT-recovery","2026-04-19T03:24:15+00:00","split by rater — members reopened as singletons | recovered 2026-04-19T03:24:15+00:00 from split — descendant singletons 727, 728 had been merged back into this split cluster; their member codes ('Generating code and docs', 'PHP Code Generation') were orphaned at emit. Flipped to approved; members deduplicated. See decision_register row."
"Self-verification Reliability","[""Self-verification evaluation"", ""Self-verification failure""]","[""self-verification capability"", ""erroneously predicts its generated incorrect code as correct""]","[""doi:10.1109/tse.2024.3492204:P001"", ""doi:10.1109/tse.2024.3492204:P002""]","2","TBS","2026-04-19T02:54:49+00:00","renamed by rater"
"Personalized Relevance Assessment","[""Increased perceived relevance"", ""Relevance evaluation limits""]","[""tailoring responses to individual personality traits"", ""prompt-based self-reflection""]","[""doi:10.18267/j.aip.282:P002"", ""doi:10.5815/ijmecs.2025.05.07:P003""]","2","TBS","2026-04-19T02:56:03+00:00",""
"Automated Analytical Programming","[""Automated code analysis"", ""Code Generation For Analysis""]","[""identification of errors and the recommendation of corresponding optimizations"", ""generate Python code""]","[""doi:10.1016/j.infsof.2025.107751:P002"", ""doi:10.1145/3706598.3713852:P001""]","2","TBS","2026-04-19T02:56:32+00:00",""
"Strategic Workflow Partitioning","[""Agentic task decomposition"", ""Task decomposition strategy""]","[""decompose tasks into subtasks"", ""split complex problems into simple ones"", ""decomposing the complex task into simpler sub-tasks and wrote prompts""]","[""doi:10.14778/3750601.3750610:P003"", ""doi:10.3389/fcomp.2024.1473870:P002"", ""doi:10.1145/3491101.3519665:P005""]","2","TBS","2026-04-19T02:59:50+00:00",""
"Human Assessment Criteria","[""Human quality assessment"", ""Quality dimension awareness""]","[""evaluate the input text generation results"", ""internal quality attributes""]","[""doi:10.1109/icse48619.2023.00119:P002"", ""doi:10.1145/3643991.3645081:P005""]","2","TBS","2026-04-19T03:00:18+00:00",""
"Complexity Driven Accuracy Loss","[""Complexity degrades performance"", ""Complexity-induced degradation""]","[""more complex it gets the more it produces mistakes"", ""diminishing returns""]","[""doi:10.1145/3704611.3704621:P002"", ""doi:10.1109/icst62969.2025.10989038:P003""]","2","TBS","2026-04-19T03:00:28+00:00",""
"Interactive Contextual Debugging","[""Context-aware debugging feedback"", ""Conversational debugging interface""]","[""context-related feedback alongside expert strategies"", ""collaborative dialogue""]","[""doi:10.1109/vl-hcc65237.2025.00045:P001"", ""doi:10.1145/3729355:P001""]","2","TBS","2026-04-19T03:01:17+00:00",""
"Iterative Execution Feedback Loop","[""Instruction refinement strategies"", ""Iterative execution-based refinement""]","[""specifying more detailed instructions"", ""adaptively learns from the code execution results""]","[""doi:10.1145/3706598.3713581:P002"", ""doi:10.1145/3650212.3680368:P001""]","2","TBS","2026-04-19T03:03:07+00:00",""
"Refined Programmatic Logic and Clarity","[""Improved code correctness and readability"", ""Improved code semantics""]","[""improvements in correctness, code readability, and warning analysis"", ""more semantically coherent""]","[""doi:10.1145/3769694.3771128:P003"", ""doi:10.18293/seke2024-123:P002""]","2","TBS","2026-04-19T03:04:05+00:00",""
"Automated Test Suite Synthesis","[""Algorithmic test case generation"", ""Automated Test Generation"", ""Automated test generation"", ""Automated test scenario generation"", ""Effective test case generation"", ""Template-based test generation"", ""Test case generation"", ""automated test generation"", ""Increased test generation"", ""Test generation"", ""Test generation efficiency"", ""Test generation inaccuracies"", ""Test generation reliability"", ""test generation time savings""]","[""case-based provocations"", ""automate test creation process"", ""generates candidate test cases"", ""automatically generate Gherkin scenarios"", ""confirmed the effectiveness of these generated test cases"", ""used the prompt templates to generate tests"", ""[producing] a lot of test cases quickly"", ""automating the process of generating test cases"", ""increases the number of unit tests generated"", ""Automated test cases were generated"", ""generate useful and accurate tests"", ""only 70% of generated tests are correct"", ""generate unit tests"", ""reduced the total effort""]","[""doi:10.1145/3772318.3790500:P001"", ""doi:10.14569/ijacsa.2024.0150168:P005"", ""doi:10.25103/jestr.186.21:P001"", ""doi:10.1109/sta66620.2025.11364940:P001"", ""doi:10.1109/msr66628.2025.00105:P002"", ""doi:10.1145/3600211.3604712:P005"", ""doi:10.1145/3597503.3608128:P005"", ""doi:10.1109/tai.2023.3318183:P002"", ""doi:10.1109/icst62969.2025.10988960:P003"", ""doi:10.5152/electrica.2026.25033:P002"", ""doi:10.1016/j.infsof.2025.107751:P005"", ""doi:10.1080/10447318.2023.2269006:P002"", ""doi:10.1145/3644815.3644949:P001"", ""doi:10.14569/ijacsa.2025.0161272:P002""]","14","TBS","2026-04-18T12:55:35+00:00",""
"Failure Detection and Classification","[""Failure categorization"", ""Failure identification success""]","[""92 failure cases"", ""successfully identify the failure""]","[""doi:10.1145/3801972:P001"", ""doi:10.1109/ase63991.2025.00182:P002""]","2","TBS","2026-04-19T03:04:25+00:00",""
"Autonomous LLM Programming Dependency","[""Exclusive LLM coding dependency"", ""LLM proposed code fixes""]","[""rely exclusively on LLMs for writing code"", ""best-effort automated program repair""]","[""doi:10.3390/app15126836:P001"", ""doi:10.1145/3729355:P003""]","2","TBS","2026-04-19T03:04:26+00:00",""
"Explanatory Troubleshooting Efficacy","[""Explainability in Debugging"", ""Perceived debugging utility"", ""Valuable for debugging""]","[""explain the issues well"", ""rated the system as helpful"", ""value for debugging and practice""]","[""doi:10.1145/3770762.3772668:P005"", ""doi:10.1145/3706598.3713581:P004"", ""doi:10.1145/3769694.3771128:P004""]","3","TBS","2026-04-18T13:35:31+00:00",""
"Defect Resolution Efficacy","[""Difficult bug diagnosis"", ""Effective bug repair"", ""Increased trivial bug finding""]","[""quite hard to diagnose"", ""accuracy in fixing"", ""higher number of low-severity issues""]","[""doi:10.1007/s10664-025-10614-4:P004"", ""doi:10.1109/cascon66301.2025.00025:P003"", ""doi:10.1109/icse55347.2025.00060:P002""]","3","TBS","2026-04-18T13:35:47+00:00",""
"Enhanced Defect Pinpointing","[""Fault localization assistance"", ""Improved failure localization"", ""Precise fault localization""]","[""identify bug-inducing commits"", ""locate failures more easily"", ""highlighting 1-2 lines for the user to inspect""]","[""doi:10.1109/tse.2024.3406718:P001"", ""doi:10.1145/3772363.3798531:P002"", ""doi:10.1145/3611643.3616322:P002""]","3","TBS","2026-04-18T13:37:12+00:00",""
"Automated Static Program Evaluation","[""Automated static analysis"", ""Static code analysis""]","[""analyzes the Python code through Pylint"", ""analyzed the structure of the HTML source code""]","[""doi:10.3389/fpsyg.2022.868698:P002"", ""doi:10.1145/3801978:P004""]","2","TBS","2026-04-19T03:04:27+00:00",""
"Accelerated Operational Speed","[""Reduced task completion time"", ""Reduced task time""]","[""decrease in the task duration"", ""substantially shorter completion times""]","[""doi:10.1109/iccp60212.2023.10398656:P001"", ""doi:10.1007/s10664-026-10813-7:P002""]","2","TBS","2026-04-19T03:04:27+00:00",""
"Deficient Output Dependability Scrutiny","[""AI Reliability Issues"", ""Lack of AI Verification""]","[""unreliable"", ""verification practices were often inadequate or nonexistent""]","[""doi:10.1145/3770762.3772668:P001"", ""doi:10.1145/3706598.3713989:P004""]","2","TBS","2026-04-19T03:04:28+00:00",""
"Scaffolding Facilitated Performance","[""Performance gain via scaffolding"", ""Task scaffolding""]","[""significantly outperforming peers"", ""follow-up suggestions""]","[""doi:10.1145/3769694.3771107:P002"", ""doi:10.1145/3801972:P002""]","2","TBS","2026-04-19T03:04:28+00:00",""
"Enhanced Runtime Fault Discovery","[""Error Detection Improvement"", ""Runtime error detection""]","[""detected up to 42.86% more errors"", ""detected 18 Python type errors""]","[""doi:10.1109/access.2025.3581139:P003"", ""doi:10.1145/3650212.3680368:P002""]","2","TBS","2026-04-19T03:04:29+00:00",""
"Enhanced Operational Productivity","[""Efficiency and effort benefits"", ""Efficiency gains"", ""Resource efficiency"", ""efficiency gains""]","[""increased programming efficiency and reduced effort"", ""significant potential for time savings"", ""saves a lot of time"", ""comparable performance [...] while using far fewer resources"", ""significant improvements in efficiency""]","[""doi:10.1145/3649217.3653615:P002"", ""doi:10.1109/ase63991.2025.00275:P001"", ""doi:10.1109/icse55347.2025.00138:P005"", ""doi:10.1109/msr66628.2025.00043:P004"", ""doi:10.1145/3643758:P004""]","4","TBS","2026-04-18T13:01:55+00:00",""
