"paper_id","passage_id","in_vivo_code","descriptive_code","coder_notes"
"doi:10.5152/electrica.2026.25033","P003","hallucinated outputs","Code hallucination","Required manual intervention"
"doi:10.5152/electrica.2026.25033","P004","comprehensive API documentation","Automated documentation",""
"doi:10.5152/electrica.2026.25033","P005","categorized prompt library","Prompt reuse strategy",""
"doi:10.5152/electrica.2026.25033","P006","contextual alignment across sprints","Long-term context loss",""
"doi:10.1109/tse.2026.3651566","P001","erroneously hallucinate functions","API hallucination challenge",""
"doi:10.1109/tse.2026.3651566","P002","four recurring misuse patterns","LLM API misuse types",""
"doi:10.1109/tse.2026.3651566","P003","IDE environments","IDE-integrated models",""
"doi:10.1109/tse.2026.3651566","P004","taxonomy-guided LLM-based APR","LLM automated program repair",""
"doi:10.1145/3769694.3771107","P001","foster learning rather than bypass it","Preventing learning bypass","Highlights the tension between task completion and actual skill acquisition when using AI."
"doi:10.1145/3769694.3771107","P002","significantly outperforming peers","Performance gain via scaffolding","Metacognitive prompts directly translate to higher rubric scores in abstraction and documentation."
"doi:10.1145/3769694.3771107","P003","four-phase conversational scaffold","Structured metacognitive reasoning","The exact interaction cycle implemented by the tool to force reasoning."
"doi:10.1145/3769694.3771107","P004","surface-level engagement","Risk of shallow learning","Generic chat interfaces lead to automation bias and lack of critical thinking."
"doi:10.14569/ijacsa.2025.0161272","P001","transform high-level functional descriptions","requirement-to-test transformation",""
"doi:10.14569/ijacsa.2025.0161272","P002","reduced the total effort","test generation time savings",""
"doi:10.14569/ijacsa.2025.0161272","P003","weighted average score of 4.75","high expert rating",""
"doi:10.14569/ijacsa.2025.0161272","P004","minor syntax hallucinations","syntax formatting errors",""
"doi:10.14569/ijacsa.2025.0161272","P005","combines them into a master prompt","context-injected orchestration",""
"doi:10.1145/3769694.3771128","P001","significantly higher rubric scores","Improved quality and speed",""
"doi:10.1145/3769694.3771128","P002","gains in conceptual understanding were mixed","Mixed conceptual learning outcomes",""
"doi:10.1145/3769694.3771128","P003","improvements in correctness, code readability, and warning analysis","Improved code correctness and readability",""
"doi:10.1145/3769694.3771128","P004","value for debugging and practice","Valuable for debugging",""
"doi:10.1145/3774752","P001","found the GPT-based grader and code-generation graders more helpful","Student preference for LLM graders",""
"doi:10.1145/3774752","P002","provide fine-grained feedback","Multidimensional automated feedback",""
"doi:10.1609/aaai.v40i47.41475","P001","generate IT monitoring dashboard widgets","Dashboard Widget Generation",""
"doi:10.1609/aaai.v40i47.41475","P002","multi-turn conversations","Conversational Disambiguation","Prompting for missing parameters"
"doi:10.1609/aaai.v40i47.41475","P003","underspecified or implicit in a query","Implicit User Intent","Difficulty extracting grouping parameters from NL"
"doi:10.1609/aaai.v40i47.41475","P004","System Usability Scale (SUS) score of 74.2","High Usability Score",""
"doi:10.1145/3756681.3757081","P001","avoids the pain of typing again","Boilerplate generation efficiency",""
"doi:10.1145/3756681.3757081","P002","rewrite code unrelated to the task","Unintended code modification",""
"doi:10.1145/3756681.3757081","P003","waste my time trying to get the chat to understand","Opaque context window",""
"doi:10.1145/3756681.3757081","P004","break the task into smaller pieces and guide the AI iteratively","Iterative prompt refinement",""
"doi:10.1145/3756681.3757081","P005","no longer have to open a browser","Reduced context switching",""
"doi:10.1007/s10257-025-00704-7","P001","waste the time of senior developers","Junior developer learning","Using conversational AI to reduce interruptions of senior devs."
"doi:10.1007/s10257-025-00704-7","P002","really often it misses things","Test generation unreliability","Generated tests require manual checking due to near misses."
"doi:10.1007/s10257-025-00704-7","P003","generate user stories","AI for requirements engineering","Using ChatGPT to overcome lack of domain experience when writing user stories."
"doi:10.1145/3773274.3774686","P001","abstracts away infrastructure management","Automated infrastructure deployment",""
"doi:10.1145/3773274.3774686","P002","syntactic pass rate","Code syntax correctness",""
"doi:10.1145/3773274.3774686","P003","fail to produce code","Unreliable code generation",""
"doi:10.1016/j.jss.2025.112541","P001","significantly outperforms LLaMA-2-7b","ChatGPT superiority","Highlights the performance gap in text similarity."
"doi:10.1016/j.jss.2025.112541","P002","continuous significant decline in posting","Decreased forum activity","Reflects the behavioral shift of users moving away from Q&A platforms."
"doi:10.1016/j.jss.2025.112541","P003","most challenging domain","Frameworks/Libraries challenges","Points to difficulty dealing with rapidly changing APIs."
"doi:10.1016/j.jss.2025.112541","P004","more neutral sentiment","Sentiment differences",""
"doi:10.1016/j.jss.2025.112541","P005","information generated after their training","Knowledge cutoff limitations","A key challenge for emerging software and recent framework updates."
"doi:10.1007/s10664-025-10730-1","P001","speeds up writing codes","Syntax automation and logic focus","Highlights shift from typing to reasoning."
"doi:10.1007/s10664-025-10730-1","P002","asking the LLM for different approaches","Contextual alternative generation","Tool acts as a replacement for external web search."
"doi:10.1007/s10664-025-10730-1","P003","just works within a series of IDEs","Seamless workflow integration","Reduces context switching."
"doi:10.1007/s10664-025-10730-1","P004","reduced time spent on debugging","Multi-task efficiency gains","Summarises capabilities in refactoring, testing, and debugging."
"doi:10.1007/s10664-025-10730-1","P005","outweigh cost concerns","High utility overrules cost","Cost is not a significant barrier for professionals."
"doi:10.1038/s41598-025-98378-1","P001","concentrate on a debate's topic better","Improved task focus",""
"doi:10.1038/s41598-025-98378-1","P002","perceive agents as less convincing and confident","Low perceived persuasiveness","Highlights trust/credibility gap between AI and humans"
"doi:10.1038/s41598-025-98378-1","P003","maintain a memory of past conversations","Contextual conversation memory",""
"doi:10.1038/s41598-025-98378-1","P004","assess the confidence of both players","Post-interaction evaluation","Used to dynamically change internal agent state"
"doi:10.1145/3769994.3769997","P001","actively guide students through diagnosing and fixing their own code","Active debugging guidance","Highlights the educational focus of the tool over mere automation."
"doi:10.1145/3769994.3769997","P002","incorporating interactive quizzes","Quiz-based learning","Shows a unique interaction mode compared to standard code generation."
"doi:10.1145/3769994.3769997","P003","most frequently used feature","Feature popularity","Testing and fault localization are empirically shown to be the most utilized features."
"doi:10.1145/3769994.3769997","P004","fostering active engagement rather than passive reliance","Mitigating AI over-reliance","Core benefit of the tool is pedagogical."
"doi:10.1145/3769994.3770029","P001","requires a competent programmer","Need for human oversight",""
"doi:10.1145/3769994.3770029","P002","understanding how Copilot uses context","Transparency increases trust",""
"doi:10.1145/3769994.3770029","P003","couldn't identify the right file","Context resolution failure",""
"doi:10.1145/3769994.3770029","P004","can't handle the edge cases","Edge case failure",""
"doi:10.14569/ijacsa.2025.0161190","P001","substantial reduction in development effort","Reduced Development Time",""
"doi:10.14569/ijacsa.2025.0161190","P002","outperforming Node.js","Higher User Satisfaction",""
"doi:10.14569/ijacsa.2025.0161190","P003","significantly less expertise to understand and modify","Easier Maintainability",""
"doi:10.1145/3663547.3759729","P001","grayed-out ghost text","inaccessible visual suggestions","Highlights lack of screen reader control for inline completions"
"doi:10.1145/3663547.3759729","P002","cognitive overload","context switching burden",""
"doi:10.1145/3663547.3759729","P003","did not inform users","missing status feedback","Relates to system state communication"
"doi:10.1145/3663547.3759729","P004","limited to audio cues","insufficient progress details",""
"doi:10.1145/3663547.3759729","P005","keyboard traps","keyboard navigation issues","Core accessibility barriers in editor interfaces"
"doi:10.1145/3756681.3756938","P001","prompt structure may not substantially impact these quality metrics","No quality impact of prompts",""
"doi:10.1145/3756681.3756938","P002","clear preference for Zero-Shot prompting","Preference for simple prompts",""
"doi:10.1145/3756681.3756938","P003","do not produce statistically significant differences","Statistical insignificance",""
"doi:10.1145/3756681.3756938","P004","insensitive to finer adjustments","Model insensitivity to prompt patterns",""
"doi:10.1145/3721127","P001","absence of reciprocity","Disrupted accountability","Engineers feel they cannot hold an AI accountable, breaking the reciprocal nature of peer reviews."
"doi:10.1145/3721127","P002","challenges the social validation","Loss of social validation",""
"doi:10.1145/3721127","P003","value the human touch","Desire for human interaction",""
"doi:10.1145/3721127","P004","first level of review","Preliminary automated review","Willingness to use LLM to filter obvious errors before a human peer reviews it."
"doi:10.5815/ijmecs.2025.05.07","P001","rated generated explanations","Student Likert evaluation",""
"doi:10.5815/ijmecs.2025.05.07","P002","query input text box","Chat interface interaction",""
"doi:10.5815/ijmecs.2025.05.07","P003","prompt-based self-reflection","Relevance evaluation limits",""
"doi:10.5815/ijmecs.2025.05.07","P004","mechanism to check the relevance","Iterative self-correction",""
"doi:10.1145/3746059.3747689","P001","more intuitive debugging assistance","Visual debugging aids","Visualization helped users identify issues much faster than baseline conversational responses."
"doi:10.1145/3746059.3747689","P002","attaching test reports when submitting prompts","Test-driven prompt refinement","Users actively leveraged structured test results as context for subsequent LLM iterations."
"doi:10.1145/3746059.3747689","P003","lack of explanatory feedback","Opaque automated resolution","Even when successful, the tool lacked sufficient explanations to help users understand what the fix entailed."
"doi:10.1145/3746059.3747689","P004","separate the scripts step-by-step","Step-wise script execution","Decomposition of generated scripts into atomic steps is required to map correctness and trace data flow."
"doi:10.1145/3746059.3747689","P005","significantly better in all six dimensions","Improved user experience",""
"doi:10.1145/3745900.3746089","P001","record robotic arm movements","Motion recording support",""
"doi:10.1145/3745900.3746089","P002","matched 100%","High recommendation accuracy",""
"doi:10.1145/3745900.3746089","P003","awkward delays","Latency issues",""
"doi:10.1145/3696630.3731667","P001","underlying motivations encouraging practitioners to adopt","Adoption Motivations",""
"doi:10.1145/3696630.3731667","P002","using general purpose AI-assisted tools like ChatGPT more","Preference for General Tools",""
"doi:10.1002/spe.3432","P001","instruments the prompts","Prompt context enhancement",""
"doi:10.1002/spe.3432","P002","delay in responses","High latency",""
"doi:10.1002/spe.3432","P003","restore a previous version","Version rollback feature",""
"doi:10.1145/3716167","P001","two-stage human study","Mixed-methods empirical setup",""
"doi:10.1145/3716167","P002","deemed natural","Transformation naturalness assessment",""
"doi:10.1145/3716167","P003","lack of robustness","Vulnerability to natural transformations",""
"doi:10.1145/3716167","P004","positive prediction changes","Unintended quality improvements",""
"doi:10.1145/3696630.3730566","P001","outpace the thought process","Cognitive pace mismatch","Highlights the tension between AI generation speed and human validation capacity."
"doi:10.1145/3696630.3730566","P002","generate unit tests","Automating repetitive tasks","Tool specialization where developers delegate rote tasks to GenAI to save time."
"doi:10.1145/3696630.3730566","P003","talking to AI than to me","Reduced peer collaboration","AI acts as a social substitute, creating friction in traditional pair programming."
"doi:10.1145/3696630.3730566","P004","work better with some programming languages","Language-dependent effectiveness","Points to training data bias affecting practical usability."
"doi:10.1145/3696630.3728559","P001","want an explicit rationale to improve their trust","Need for explainability",""
"doi:10.1145/3696630.3728559","P002","intelligent summary of key distinctions","Log summarization",""
"doi:10.1145/3696630.3728559","P003","desire for greater transparency","Transparency requirement","Engineers need to understand the 'why' behind AI classifications to avoid repeating the manual investigation."
"doi:10.1145/3696630.3728559","P004","reduced cognitive load","Reduced cognitive effort",""
"doi:10.1145/3696630.3728552","P001","express a need for more effective tools","Review efficiency bottlenecks",""
"doi:10.1145/3696630.3728552","P002","continuously optimizes based on user feedback","Feedback-driven optimization","Highlights the data flywheel mechanism"
"doi:10.1145/3696630.3728552","P003","ignore review comments entirely","Alert fatigue and trust",""
"doi:10.1145/3696630.3728552","P004","affirming the value and effectiveness","High user satisfaction",""
"doi:10.1145/3707640.3731915","P001","cause mental fatigue, cognitive strain","Negative wellbeing impacts","Identifies psychological toll of using AI tools"
"doi:10.1145/3707640.3731915","P001","increase productivity and improve focus","Productivity and focus benefits",""
"doi:10.1145/3707640.3731915","P002","comprehensive survey to investigate key factors","Survey methodology",""
"doi:10.1016/j.infsof.2025.107751","P001","generation and evaluation of concepts, ideas, or architectures","System design ideation",""
"doi:10.1016/j.infsof.2025.107751","P002","identification of errors and the recommendation of corresponding optimizations","Automated code analysis",""
"doi:10.1016/j.infsof.2025.107751","P003","trial and error approach","Iterative prompting strategies","Highlights the back-and-forth nature of current GenAI interactions."
"doi:10.1016/j.infsof.2025.107751","P004","different code each time","Output unreliability and non-determinism",""
"doi:10.1016/j.infsof.2025.107751","P005","generate useful and accurate tests","Test generation efficiency","Shifts developer focus to higher-complexity tasks."
"doi:10.1145/3726302.3729960","P001","significantly higher number of assessments","Increased task throughput","Summarisation allowed crowd workers to complete more tasks."
"doi:10.1145/3726302.3729960","P002","reduce cognitive load","Cognitive load reduction","Primary benefit of providing LLM summaries over full text."
"doi:10.1145/3726302.3729960","P003","recruit 100 workers for each modality","Participant sample size","A/B testing with two groups of 100 participants."
"doi:10.1145/3726302.3729960","P004","clicked no further than the first link","Shallow evidence exploration","Workers tended to rely mostly on initial summaries."
"doi:10.1145/3708518","P001","generating a specific type of explanation","Targeted explanation generation",""
"doi:10.1145/3708518","P002","transform the explanation","Explanation transformation success",""
"doi:10.1145/3708518","P003","custom version of ChatGPT","Custom tailored LLM agent",""
"doi:10.1145/3708518","P004","limitation on generating accurate examples","Inaccurate contextual examples",""
"doi:10.1145/3696630.3728533","P001","lightweight prompt templates","Prompt template structure",""
"doi:10.1145/3696630.3728533","P002","four most common","Common template components",""
"doi:10.1145/3696630.3728533","P003","most commonly used output format","JSON formatting dominance",""
"doi:10.1145/3696630.3728533","P004","refine outputs","Constraints for refinement",""
"doi:10.1145/3696630.3728533","P005","mitigates information decay","Instruction positioning benefits",""
"doi:10.1145/3708319.3733810","P001","accurately summarize potentially unstructured answers","Accurate answer summarisation",""
"doi:10.1145/3708319.3733810","P002","uncoordinated video demonstrates the critical necessity of aligning visual and auditory elements","Audio-visual sync issues","Challenges related to embodying the conversational agent"
"doi:10.1145/3708319.3733810","P003","appreciated the core conversational capabilities","Core conversational effectiveness",""
"doi:10.3390/app15126836","P001","rely exclusively on LLMs for writing code","Exclusive LLM coding dependency",""
"doi:10.3390/app15126836","P002","queried LLMs for error fixing","Error fixing queries",""
"doi:10.1007/s10664-025-10614-4","P001","often or always experience bugs","High bug frequency",""
"doi:10.1007/s10664-025-10614-4","P002","medium or more difficulty in terms of fixing","Significant fix effort",""
"doi:10.1007/s10664-025-10614-4","P003","combination of manual inspection with re-prompting","Iterative debugging approach",""
"doi:10.1007/s10664-025-10614-4","P004","quite hard to diagnose","Difficult bug diagnosis",""
"doi:10.1145/3712005","P001","inaccuracies in these environments","hallucination risks",""
"doi:10.1145/3712005","P002","cannot be successfully parsed by compilers","compilation errors","Challenges with syntactic correctness in test generation."
"doi:10.1145/3712005","P003","building code review applications for different types of problems","issue-specific review challenges",""
"doi:10.1016/j.caeai.2024.100347","P001","interviewing 83 undergraduate and graduate students","Student evaluation study",""
"doi:10.1016/j.caeai.2024.100347","P002","vulnerable to the changes in the student's background","Demographic bias vulnerability","Experiment indicates scoring bias depending on LLM used"
"doi:10.1016/j.caeai.2024.100347","P003","critically analyze the responses","Automated text feedback",""
"doi:10.1007/s10515-025-00492-x","P001","prompt engineering and dialogue can further improve its performance","Prompting improves repair",""
"doi:10.1007/s10515-025-00492-x","P002","more information (e.g., the context and intention of code) is needed","Code intention required",""
"doi:10.1007/s10515-025-00492-x","P003","three main types of ChatGPT’s response for repair","Agent response types",""
"doi:10.1007/s10515-025-00492-x","P004","catastrophic forgetting or the misunderstanding of the code intention","Context window limits","Mention of catastrophic forgetting during multi-turn debugging."
"doi:10.1007/s10515-025-00492-x","P005","fails to detect a deprecated API even though the change is small","API deprecation challenges",""
"doi:10.1145/3706598.3713852","P001","generate Python code","Code Generation For Analysis","The system internally uses an LLM to write Python code to query the user's dataframe."
"doi:10.1145/3706598.3713852","P002","cognitive burden","Text Input Friction",""
"doi:10.1145/3706598.3713852","P003","better understanding","Improved Health Literacy",""
"doi:10.1145/3706598.3713705","P001","learn healthy, long-term emotional labor practices","Emotional skill development","Tool acts as an interactive coach rather than just task automation."
"doi:10.1145/3706598.3713705","P002","mitigating the emotional labor-induced demands","Demand mitigation",""
"doi:10.1145/3706598.3713705","P003","redundant over time","Support redundancy","Persistent AI emotional support might suffer from diminishing returns in high-efficiency tasks."
"doi:10.1145/3706598.3713989","P001","presented with insecure AI suggestions","Insecure Suggestion Exposure",""
"doi:10.1145/3706598.3713989","P002","high level of trust in AI-generated code","Over-reliance on AI",""
"doi:10.1145/3706598.3713989","P003","mistakenly considering it secure","False Security Confidence",""
"doi:10.1145/3706598.3713989","P004","verification practices were often inadequate or nonexistent","Lack of AI Verification",""
"doi:10.1145/3706598.3713581","P001","emergent interactions between them","Agent interaction complexity",""
"doi:10.1145/3706598.3713581","P002","specifying more detailed instructions","Instruction refinement strategies",""
"doi:10.1145/3706598.3713581","P003","robust checkpointing support","State restoration capability",""
"doi:10.1145/3706598.3713581","P004","rated the system as helpful","Perceived debugging utility",""
"doi:10.1145/3706599.3706670","P001","understanding code","Code Comprehension Use Case","Highlights that explanation and sensemaking exceeded raw generation in usage"
"doi:10.1145/3706599.3706670","P002","modified outputs before using them","Output Modification",""
"doi:10.1145/3706599.3706670","P003","benefits of WCA were not evenly distributed","Disparate Productivity Benefits","Not all developers see identical gains from the tool"
"doi:10.1145/3706599.3706670","P004","first reviewing and modifying it","Review and Edit","Shows active engagement over blind trust"
"doi:10.1145/3706598.3713600","P001","mimicking human-like interactions","Human-like UI interactions","Agent interacts directly with the GUI instead of using system backend access."
"doi:10.1145/3706598.3713600","P002","interacts autonomously with apps","Autonomous exploration","Tool learns to navigate independently via trial and error."
"doi:10.1145/3706598.3713600","P003","update the document based on past documents and current observations","Iterative knowledge refinement","Agent self-improves its documentation memory based on interaction history."
"doi:10.1145/3706598.3713600","P004","user study was conducted to rank","User ranking of AI outputs","No actual SWE subjects; users just evaluated and ranked the tool's image outputs."
"doi:10.1145/3706598.3714008","P001","helps me with tasks I don't enjoy","Delegating tedious tasks","AI used to offload undesirable documentation generation."
"doi:10.1145/3706598.3714008","P002","work sequentially and not parallel","Sequential screen reader processing","Highlights clash between dynamic UI and non-visual tools."
"doi:10.1145/3706598.3714008","P003","turn speech off for a bit so I can think","Managing cognitive load","User pausing tool to regain mental context (AI timeouts)."
"doi:10.1145/3706598.3714008","P004","a couple steps ahead of me","Proactive code generation","AI anticipates future implementation needs accurately."
"doi:10.29207/resti.v9i2.6012","P001","significantly improved users' secure coding skills","Skill improvement","Abstract mentions pre-test and post-test score comparison indicating educational benefit."
"doi:10.1609/aaai.v39i27.35063","P001","accuracy improved with guidance","improved accuracy",""
"doi:10.1609/aaai.v39i27.35063","P002","received guidance","LLM guidance","Participants interact with the AI only when predictions differ."
"doi:10.1609/aaai.v39i27.35063","P003","arrive at the correct final decision","decision support",""
"doi:10.1145/3706599.3720193","P001","consistent decline in crowd worker usage","AI replacing human crowds","Participants abandoned human-in-the-loop assistance for faster LLM generation."
"doi:10.1145/3706599.3720193","P002","instant gratification","Speed of AI response",""
"doi:10.1145/3706599.3720193","P003","stereotypical portrayals","AI generated bias","AI tools failed to align with specific marginalized creative context."
"doi:10.1145/3706599.3720193","P004","validation of their thoughts","Idea validation via AI","Users prompt the AI to see if the LLM arrives at the same narrative conclusion they intended."
"doi:10.1145/3716640.3716657","P001","copying assignment descriptions to get direct solutions","Direct solution prompting","Highlights zero-shot over-reliance behavior by submitting entire problem statements."
"doi:10.1145/3716640.3716657","P002","providing error stack traces","Stack trace debugging",""
"doi:10.1145/3716640.3716657","P002","submitting functional code for the LLM to review","Automated code review",""
"doi:10.1145/3716640.3716657","P003","discuss high-level implementation strategies","Architecture brainstorming","Rare use case in this educational context likely due to predefined assignment scopes."
"doi:10.1145/3716640.3716657","P004","generating README files","Project documentation",""
"doi:10.1145/3716640.3716657","P005","Difficulty distinguishing between correct and incorrect solutions","Verifying correctness","A critical challenge tied to trust, hallucinations, and student evaluation abilities."
"doi:10.9781/ijimai.2025.09.005","P001","case study involved 39 students","Student evaluation study",""
"doi:10.9781/ijimai.2025.09.005","P002","achieving similar grades to those scored by the best of the students","Comparable student performance",""
"doi:10.51983/ijiss-2025.ijiss.15.2.46","P001","captured as metadata","IDE metadata context injection","Describes how platform-specific context (session state, user role, item focus) is integrated with user prompts."
"doi:10.51983/ijiss-2025.ijiss.15.2.46","P002","38% productivity increase","Experience-dependent productivity gains","Highlights that less experienced developers saw proportionally higher productivity uplifts."
"doi:10.51983/ijiss-2025.ijiss.15.2.46","P003","performed poorly","API generation inaccuracies","Notes model struggles with generating REST APIs due to complex payload requirements."
"doi:10.51983/ijiss-2025.ijiss.15.2.46","P004","reusable prompt-based templates","Prompt template reuse","Demonstrates emergent practice of cataloging successful prompts for future collaborative usage."
"doi:10.1007/s10664-024-10594-x","P001","review patches","Patch review task",""
"doi:10.1007/s10664-024-10594-x","P002","discern where to focus effort on","Attention guidance",""
"doi:10.1007/s10664-024-10594-x","P003","verified rigorously","Verification overhead",""
"doi:10.1007/s10664-024-10594-x","P004","judged patch correctness more accurately","Improved accuracy",""
"doi:10.1007/s10664-024-10594-x","P005","generate hypotheses","Hypothesis generation",""
"doi:10.1145/3697010","P001","threat of non-determinism","Non-determinism threat",""
"doi:10.1145/3697010","P002","temperature to 0 does not guarantee determinism","Zero temperature non-determinism",""
"doi:10.1145/3697010","P003","longer description and higher difficulty tends to suffer from more non-determinism","Task complexity increases non-determinism",""
"doi:10.1109/ase63991.2025.00046","P001","automate method-level obsolete test code updates","Automated test code update","Tool automates co-evolution of test suites alongside code changes."
"doi:10.24251/hicss.2025.883","P001","autocomplete function","Inline code completion",""
"doi:10.24251/hicss.2025.883","P002","quick information retrieval","Replacing traditional search",""
"doi:10.24251/hicss.2025.883","P003","preferring human interactions","Reduced AI use in PP","Identifies tension between AI and pair programming"
"doi:10.24251/hicss.2025.883","P004","guide Copilot in generating relevant suggestions","Prompting via comments",""
"doi:10.24251/hicss.2025.883","P005","lack the specialized knowledge and context","Domain context deficit","Highlights the boundary of general-purpose LLMs in enterprise"
"doi:10.3390/educsci15020156","P001","ChatGPT-based assessment system","System proposal",""
"doi:10.3390/educsci15020156","P002","generate relevant practice problems","Educational content generation",""
"doi:10.1109/ase63991.2025.00022","P001","successful knowledge transfer episodes","Knowledge transfer success",""
"doi:10.1109/ase63991.2025.00022","P002","accept GitHub Copilot’s suggestions with less scrutiny","Reduced suggestion scrutiny","Highlights potential over-reliance compared to human pairs"
"doi:10.1109/ase63991.2025.00022","P002","remind developers of important code details","Code detail reminder",""
"doi:10.1109/ase63991.2025.00031","P001","generated oracles","Test oracle generation performance",""
"doi:10.1109/ase63991.2025.00031","P002","test prefix and the methods called","Context requirements for tests",""
"doi:10.1109/ase63991.2025.00315","P001","fostering distrust and impeding adoption","Black-box LLM distrust",""
"doi:10.1109/ase63991.2025.00315","P002","presented to developers through the standard pull request interface","PR interface integration","Usage pattern indicates agent operates automatically on Pull Requests."
"doi:10.1109/ase63991.2025.00315","P003","relative increase of 90.9% in developer acceptance","Increased suggestion adoption",""
"doi:10.1109/ase63991.2025.00315","P004","enhanced trust and explainability","Rule-grounded explainability",""
"doi:10.7764/ric.00164.21","P001","converts unstructured inputs","Automated data structuring",""
"doi:10.7764/ric.00164.21","P002","brought to the channel where coordination already lives","Native channel integration","Emphasizes zero-friction adoption via familiar platforms"
"doi:10.7764/ric.00164.21","P003","data-entry work reduced by ~90%","Manual effort reduction",""
