"paper_id","title","authors","year","venue","scis_rank","scis_venue_type","abstract","status","extraction_source","timestamp","model","input_tokens","output_tokens","cost_usd","notes"
"doi:10.3390/computers15030154","Human–AI Collaboration in Programming Education: Student Perspectives on LLM-Based Coding Assistants","","2026","Computers","Not found","Not found","The integration of large language models (LLMs) such as GitHub Copilot, ChatGPT, and DeepSeek into programming education has introduced a new form of human–AI collaboration. These tools provide real-time code suggestions, debugging assistance, and design support, yet their effects on learning, trust, productivity, and coding practices remain underexplored. We surveyed 248 students to examine relationships among these constructs, usage patterns by programming experience and academic level, the mo","extracted","abstract_only","2026-04-17T08:30:22.827431+00:00","gemini-3.1-pro-preview","5853","314","0.0155",""
"doi:10.1016/j.jss.2025.112685","Automated end-to-end testing for conversational agents","","2026","Journal of Systems and Software","A","Journal","The advances in generative artificial intelligence, especially Large Language Models (LLMs), have prompted the proliferation of conversational agents (or chatbots). These can be general-purpose – like ChatGPT – or tailored to specific tasks – like buying tickets or obtaining customer support. Although chatbots play a significant role in today’s software ecosystem, they are hard to test: defining meaningful, thorough tests is time-consuming, and setting an oracle flexible to conversational variat","extracted","abstract_only","2026-04-17T08:30:48.334619+00:00","gemini-3.1-pro-preview","5952","309","0.0156",""
"doi:10.1145/3742475","ComCat: Expertise-Guided Context Generation to Enhance Code Comprehension","","2026","ACM Trans. Softw. Eng. Methodol.","A*","Journal","Software maintenance constitutes a substantial portion of the total lifetime costs of software, with a significant portion attributed to code comprehension. Software comprehension is eased by documentation such as comments that summarize and explain code. We present ComCat, an approach to automate comment generation by augmenting Large Language Models (LLMs) with expertise-guided context to target the annotation of source code with comments that improve comprehension. Our approach enables the se","extracted","abstract_only","2026-04-17T08:31:26.950360+00:00","gemini-3.1-pro-preview","5900","408","0.0167",""
"doi:10.1145/3735553","Large Language Models for Automated Web-Form-Test Generation: An Empirical Study","","2026","ACM Transactions on Software Engineering and Methodology","A*","Journal","Testing web forms is an essential activity for ensuring the quality of web applications. It typically involves evaluating the interactions between users and forms. Automated test-case generation remains a challenge for web-form testing: Due to the complex, multi-level structure of Web pages, it can be difficult to automatically capture their inherent contextual information for inclusion in the tests. Large Language Models (LLMs) have shown great potential for contextual text generation. This mot","extracted","abstract_only","2026-04-17T08:32:11.289486+00:00","gemini-3.1-pro-preview","6132","311","0.016",""
"doi:10.1002/cae.70177","Integrating GenAI Tools Into Software Engineering Education","","2026","Computer Applications in Engineering Education","Not found","Not found","ABSTRACT This article addresses the challenge of integrating GenAI tools into formal higher education, specifically in software engineering, where structured approaches for their adoption into teaching and learning practices are currently lacking. The goal of this research is to explore how GenAI tools can be applied throughout various phases of the software development lifecycle and to propose a methodology for their effective incorporation into software engineering education. The methodology f","extracted","abstract_only","2026-04-17T08:32:36.403121+00:00","gemini-3.1-pro-preview","5861","708","0.0202",""
"doi:10.1021/acsomega.5c12654","Generative AI Driven Process Calculations for Fuel Cells and Flow Batteries","","2026","ACS Omega","Not found","Not found","Electrochemical energy systems such as proton-exchange membrane fuel cells (PEMFCs), solid-oxide fuel cells (SOFCs), and vanadium redox flow batteries (VRFBs) are governed by strongly coupled, nonlinear transport-kinetics equations spanning multiple scales. Mechanistic solvers provide physical fidelity but impose modeling and software burdens that hinder rapid iteration, while purely data-driven surrogates, such as artificial neural networks (ANNs) and deep reinforcement learning (DRL), can be b","extracted","abstract_only","2026-04-17T08:32:52.945061+00:00","gemini-3.1-pro-preview","5970","298","0.0155",""
"doi:10.1145/3770762.3772668","A ‘watch your replay videos’ Reflection Assignment on Comparing Programming without versus with Generative AI: Learning about Programming, Critical AI Use and Limitations, and Reflection","","2026","SIGCSE TS 2026 Proceedings of the 57th ACM Technical Symposium on Computer Science Education V 1","Not found","Not found","Generative AI is disrupting computing education. Most interventions focus on teaching GenAI use rather than helping students understand how AI changes their programming process. We designed and deployed a novel comparative video reflection assignment adapting the Describe, Examine, then Articulate Learning (DEAL) framework. In an introductory software engineering course, students recorded themselves programming during their team project two times: first without, then with using generative AI. St","extracted","fulltext","2026-04-17T08:33:47.349559+00:00","gemini-3.1-pro-preview","9205","1134","0.032",""
"doi:10.1145/3770762.3772662","Owlgorithm: Supporting Self-Regulated Learning in Competitive Programming through LLM-Driven Reflection","","2026","SIGCSE TS 2026 Proceedings of the 57th ACM Technical Symposium on Computer Science Education V 1","Not found","Not found","We present Owlgorithm, an educational platform that supports Self-Regulated Learning (SRL) in competitive programming (CP) through AI-generated reflective questions. Leveraging GPT-4o, Owlgorithm produces context-aware, metacognitive prompts tailored to individual student submissions. Integrated into a second- and third-year CP course, the system-provided reflective prompts adapted to student outcomes: guiding deeper conceptual insight for correct solutions and structured debugging for partial o","extracted","fulltext","2026-04-17T08:34:32.163947+00:00","gemini-3.1-pro-preview","9205","1177","0.0325",""
"doi:10.3390/systems14020153","Stage-Aware Governance of Large Language Models: Managing Uncertainty and Human Oversight in AI-Assisted Literature Review Systems","","2026","Systems","Not found","Not found","This study proposes a stage-aware governance framework for large language models (LLMs) that structures human oversight and accountability across different decision stages in AI-assisted literature review systems. Large language models (LLMs) are increasingly embedded in systematic review workflows, yet how human oversight and accountability should be structured across different decision stages remains unclear. This study evaluates three LLMs in a controlled two-stage literature review workflow—","extracted","abstract_only","2026-04-17T08:34:56.007866+00:00","gemini-3.1-pro-preview","5915","208","0.0143",""
"doi:10.3390/app16042120","AgoraAI: An Open-Source Voice-to-Voice Framework for Multi-Persona and Multi-Human Interaction","","2026","Applied Sciences Switzerland","Not found","Not found","This article presents AgoraAI, an open-source framework designed to enable dynamic, multi-participant conversations by integrating Multi-Persona Orchestration within a shared conversational environment. Unlike traditional single-agent Large Language Model (LLM) interactions or passive commercial meeting assistants, AgoraAI allows users to configure distinct AI personas that engage in active facilitation and simultaneous, turn-based dialogues with human participants. The system supports diverse h","extracted","abstract_only","2026-04-17T08:35:13.486037+00:00","gemini-3.1-pro-preview","5871","311","0.0155",""
"doi:10.3390/electronics15040903","Prompt-Driven Development with Claude Code: Developing a TUI Framework for the Ring Programming Language","","2026","Electronics Switzerland","Not found","Not found","Large language models (LLMs) are increasingly used in software development, yet their ability to generate and maintain large, multi-module systems through natural language interaction remains insufficiently characterized. This study presents an empirical analysis of developing a 7420-line Terminal User Interface (TUI) framework for the Ring programming language using a prompt-driven workflow with Claude Code (Opus 4.5), employing an iterative testing and corrective feedback. The system was produ","extracted","abstract_only","2026-04-17T08:35:47.765002+00:00","gemini-3.1-pro-preview","5983","741","0.0209",""
"doi:10.59543/gk2qp136","AI Pair Programming and Knowledge Sharing in Developer Communities","","2026","Journal of Intelligent Decision Making and Information Science","Not found","Not found","With the increasing availability of artificial intelligence-supported pair programming tools in professional software development, past research has largely concentrated on their impact on individual developers. Much less is known about their potential impact on developer communities. Specifically, we still lack empirical insight into whether the proliferation of artificial intelligence coding assistants is associated with observable changes in community participation, collaborative communicatio","extracted","fulltext","2026-04-17T08:36:29.343829+00:00","gemini-3.1-pro-preview","15125","1303","0.0459",""
"doi:10.1109/tse.2026.3659293","Human Cognitive Pattern Simulation for Crowdsourced Test Report Consistency Detection","","2026","IEEE Transactions on Software Engineering","A*","Journal","Crowdsourced testing has emerged as a prominent paradigm in software testing by leveraging the diversity of crowdworkers. In this paradigm, crowd-workers are required to submit a test report for each identified bug, which typically contains a textual description and a bug screenshot. However, due to varying worker expertise, many reports exhibit inconsistencies between the textual description and the bug screenshot, which hinder the report review process. Existing methods address this issue by a","extracted","abstract_only","2026-04-17T08:38:00.791810+00:00","gemini-3.1-pro-preview","6353","304","0.0164",""
"doi:10.1109/ms.2026.3671677","AI-assisted Collaboration: Exploring Developer Experience with GitHub Copilot and Windsurf","","2026","IEEE Software","B","Journal","AI-assisted tools are reshaping how developers work, yet empirical research examining their impact through developer experience (DevEx) frameworks remains limited. This study investigates the adoption of AI-assisted coding tools, including GitHub Copilot and Windsurf, within software development at a Fintech organization. We conducted a mixed-methods study over a three-month period, combining quantitative usage telemetry with qualitative thematic analysis of practitioner reflections within a 36-","extracted","abstract_only","2026-04-17T08:38:17.375855+00:00","gemini-3.1-pro-preview","5804","327","0.0155",""
"doi:10.1109/tse.2026.3663093","Impact of an LLM-based Review Assistant in Practice: A Mixed Open-/Closed-source Case Study","","2026","IEEE Transactions on Software Engineering","A*","Journal","Code review is a standard practice in modern software development, aiming to improve code quality.As providing constructive reviews on a submitted patch is a challenging and error-prone task, the advances of Large Language Models (LLMs) in performing natural language processing (NLP) tasks in a human-like fashion have prompted researchers to evaluate the LLMs’ ability to automate the code review process. However, outside lab settings, it is still unclear how prone reviewers are to accept comment","extracted","abstract_only","2026-04-17T08:38:44.610029+00:00","gemini-3.1-pro-preview","6043","327","0.016",""
"doi:10.1109/access.2026.3663331","Prompt Engineering for Advancing Software Engineering: Using Generative Language Models in the Development of Domain-Specific Languages","","2026","IEEE Access","A","Journal","In this research, a comprehensive framework employing large language models (LLMs) and prompt engineering techniques is developed with the aim of optimizing the creation of domain-specific languages (DSLs). Domain experts utilize DSLs to create precise, high-level specifications that can be customized to their application domains. However, challenges regarding usability, semantic correctness, and syntax design are often encountered in the development process. With recent advances in LLaMA, Claud","extracted","abstract_only","2026-04-17T08:39:14.019119+00:00","gemini-3.1-pro-preview","5935","319","0.0157",""
"doi:10.18267/j.aip.282","Data Science Framework for Adaptive Expert Systems: Psychological Profiling and Knowledge Fusion in Higher Education","","2026","Acta Informatica Pragensia","Not found","Not found","Background: Traditional expert systems in education rely on static knowledge bases and rule-based logic, limiting their ability to adapt to the diverse and evolving needs of students.Recent advancements in artificial intelligence and psychological profiling offer new pathways for building personalized support systems.Objective: This study presents a data science framework for developing adaptive expert systems that personalize support delivery using dynamic psychological profiling, with a focus ","extracted","fulltext","2026-04-17T08:40:30.055103+00:00","gemini-3.1-pro-preview","15129","914","0.0412",""
"doi:10.12688/openreseurope.22009.1","How generative AI is shaping research software development and maintenance at a research-intensive university","","2026","Open Research Europe","Not found","Not found","At a large research intensive university, generative AI adoption in research software development is already common among active developers and is expected to expand. The observed gender disparity signals a potential equity risk as tool assisted development becomes normalized. These findings provide an empirical baseline for multi institution replication and for evaluating how generative AI may reshape the organization and distribution of research software work.","extracted","abstract_only","2026-04-17T08:40:51.274238+00:00","gemini-3.1-pro-preview","5687","309","0.0151",""
"doi:10.1109/ms.2026.3668669","From User Stories to Architectures: Using LLM-powered Agents to Design and Improve Microservice-based Software","","2026","IEEE Software","B","Journal","Large Language Models have rapidly transformed how developers write and test code, yet their use in software architecture design remains limited. Current AI-powered assistants can generate useful snippets of code but lack a holistic view of how modules should interact to form reliable systems. We discuss ArchiLLM, an LLM-based framework that extends the capabilities of AI assistants from code generation to architecture synthesis. Given minimal textual input, such as requirements or user stories,","extracted","abstract_only","2026-04-17T08:41:22.624646+00:00","gemini-3.1-pro-preview","5812","434","0.0168",""
"doi:10.1109/ms.2025.3644903","Is ChatGPT-Generated Code Really Green?: Evaluating AI-Generated Solutions for Energy-Efficient Coding Practices","","2026","IEEE Software","B","Journal","Energy efficiency has become an important concern in software engineering today. At the same time, since generative AI tools have got deeply integrated into coding workflows, it has become crucial to analyze the greenness of AI-generated code. Previous studies have mostly approached this issue quantitatively, measuring execution-time or joule-based metrics. While this approach is useful, it cannot tell us completely about contextual factors such as implementation choices and domain constraints t","extracted","abstract_only","2026-04-17T08:41:48.007704+00:00","gemini-3.1-pro-preview","5810","308","0.0153",""
"doi:10.1109/tse.2025.3632765","How Can ChatGPT Support Human Security Testers to Help Mitigate Supply Chain Attacks?","","2026","IEEE Transactions on Software Engineering","A*","Journal","Developers often build software on top of third-party libraries (Libs) to improve programmer productivity and software quality. The libraries may contain vulnerabilities exploitable by hackers to attack the applications (Apps) built on top of them. Such attacks are known as software supply chain attacks, the documented number of which has increased 742% in 2022. Researchers and developers created tools to mitigate such attacks, by scanning the library dependencies of Apps, identifying the usage ","extracted","abstract_only","2026-04-17T08:43:55.087998+00:00","gemini-3.1-pro-preview","6072","436","0.0174",""
"doi:10.1109/tase.2026.3673004","Learning to Tune Like an Expert: Interpretable and Scene-Aware Navigation via MLLM Reasoning and CVAE-Based Adaptation","","2026","IEEE Transactions on Automation Science and Engineering","A*","Journal","Service robots are increasingly deployed in diverse and dynamic environments, where both physical layouts and social contexts change over time and across locations. In these unstructured settings, conventional navigation systems that rely on fixed parameters often fail to generalize across scenarios, resulting in degraded performance and reduced social acceptance. Although recent approaches have leveraged reinforcement learning to enhance traditional planners, these methods often fail in real-wo","extracted","abstract_only","2026-04-17T08:44:14.667604+00:00","gemini-3.1-pro-preview","5913","324","0.0157",""
"doi:10.5152/electrica.2026.25033","Enhancing Software Development with Large Language Models: A Case Study of Kolay.ai","","2026","Electrica","Not found","Not found","The integration of large language models (LLMs) into software development has transformed the field by streamlining coding processes, reducing manual workload, and enabling automation of documentation and testing. This paper presents a detailed case study of Kolay.ai, a project built using LLM-based development tools. It demonstrates how LLMs accelerate development cycles by 30–40%, reduce errors by 30%, and improve onboarding efficiency. However, the study also identifies challenges such as hal","extracted","fulltext","2026-04-17T08:45:02.437283+00:00","gemini-3.1-pro-preview","10961","1252","0.0369",""
"doi:10.1109/access.2026.3671629","A Business Process-Centric Approach for LLM-Driven Functional Test Generation","","2026","IEEE Access","A","Journal","Validating end-to-end business processes requires strict adherence to state logic, particularly for long-horizon workflows involving complex multi-role interactions. While Large Language Models (LLMs) offer promising automation capabilities, current approaches often lack integration with formal testing principles, leading to inherent ""happy path bias"" and difficulties in maintaining context across extended sessions. This paper proposes a hybrid, business process-centric methodology that addresse","extracted","abstract_only","2026-04-17T08:45:25.036592+00:00","gemini-3.1-pro-preview","5924","301","0.0155",""
"doi:10.1109/tse.2026.3651566","Identifying and Mitigating API Misuse in Large Language Models","","2026","IEEE Transactions on Software Engineering","A*","Journal","API misuse in code generated by large language models (LLMs) presents a serious and growing challenge in software development. While LLMs demonstrate impressive code generation capabilities, their interactions with complex library APIs are often error-prone, potentially leading to software failures and vulnerabilities. In this paper, we conduct a large-scale study of API misuse patterns in LLM-generated code, analyzing both method selection and parameter usage across Python and Java, using three","extracted","fulltext","2026-04-17T08:46:11.911702+00:00","gemini-3.1-pro-preview","15445","1098","0.0441",""
"doi:10.1109/te.2025.3646934","CliCFPGA: Leveraging FPGA Education and Research Through Collaborative and Low-Code Heterogeneous Platform","","2026","IEEE Transactions on Education","B","Journal","The rising demand for real-time data processing has made field programmable gate arrays (FPGAs) essential programmable accelerators, offering superior performance and lower power consumption than microprocessors and graphics processing units (GPUs). However, FPGA development environments present several challenges, including the need for high-end computers for faster hardware compilation, managing multiple versions of FPGA computer-aided design (CAD) tools, and a lack of modularity, collaboratio","extracted","abstract_only","2026-04-17T08:47:35.498755+00:00","gemini-3.1-pro-preview","5970","413","0.0169",""
"doi:10.1109/ms.2025.3621128","Using LLMs to Bridge the Gaps in QA Test Plans at Firefox","","2026","IEEE Software","B","Journal","As software systems grow in scale and complexity, ensuring their reliability becomes increasingly challenging due to factors like diverse platforms, rapid release cycles, and evolving user needs. This places greater demands on software quality assurance (QA), where comprehensive test planning is crucial. However, in addition to this process being manual and time-consuming, skilled QA engineers may potentially overlook critical scenarios. <p xmlns:mml=""http://www.w3.org/1998/Math/MathML"" xmlns:xl","extracted","abstract_only","2026-04-17T08:48:20.638655+00:00","gemini-3.1-pro-preview","5859","359","0.016",""
"doi:10.1002/kpm.70060","Exploring Academics' Orientation Towards Large Language Model Adoption: A Knowledge Management Approach Using ChatGPT and Retrieval-Augmented Generation","","2026","Knowledge and Process Management","Not found","Not found","ABSTRACT Drawing on the Rapid Application Development approach and the Unified Theory of Acceptance and Use of Technology II (UTAUT2), this study develops a generative artificial intelligence (AI) tool for higher education institutions (HEIs), referred to as the Knowledge Management‐Large Language Model (KM‐LLM) application and examines how its actual usage (AU) by academics influences knowledge management (KM) processes. Using Retrieval‐Augmented Generation (RAG) techniques and Large Language M","extracted","abstract_only","2026-04-17T08:48:25.443213+00:00","gemini-3.1-pro-preview","5952","319","0.0157",""
"doi:10.3390/app16020723","Hybrid Usability Evaluation of an Automotive REM Tool: Human and LLM-Based Heuristic Assessment of IBM Doors Next","","2026","Applied Sciences Switzerland","Not found","Not found","Requirements Engineering and Management (REM) tools play a significant role in ensuring project compliance and efficiency. Automotive engineering must comply with regulatory standards, requiring detailed documentation, rigorous testing, and solid traceability. Despite their importance, REM tools are underexplored from the usability and user experience perspective (UX), even though poor usability can hinder development workflows across stakeholder teams. This study presents a case study of heuris","extracted","abstract_only","2026-04-17T08:48:26.695670+00:00","gemini-3.1-pro-preview","5869","300","0.0153",""
"doi:10.1145/3769694.3771107","Not All Chatbots Teach: Evidence for Pedagogical Design in AI-Assisted Technical Education","","2025","ACM Sigcite 2025 Proceedings of the 26th ACM Annual Conference on Cybersecurity and Information Technology Education","Not found","Not found","As generative AI tools like ChatGPT become embedded in technical education, a critical challenge emerges: how can we ensure these tools foster learning rather than bypass it? This study provides empirical evidence that pedagogical design, not merely model access, determines the educational value of AI assistants. We developed a freely available custom conversational AI tool that embeds metacognitive scaffolding through structured prompts grounded in the Feynman Technique and learning science lit","extracted","fulltext","2026-04-17T08:48:28.039127+00:00","gemini-3.1-pro-preview","8685","1234","0.0322",""
"doi:10.14569/ijacsa.2025.0161272","Engineering Prompt-Orchestrated LLM Workflows for Automated Test Case Generation in Agile Environments","","2025","International Journal of Advanced Computer Science and Applications","Not found","Not found","Manual test case generation for agile software development is a critical bottleneck that is costly, inconsistent, and error-prone. This study introduces a prompt-engineering and multi-level orchestration framework to automate this process. The proposed approach explicitly targets the automated generation of high-level acceptance test cases, addressing a gap in existing research that predominantly focuses on unit-level or reactive testing. The proposed tool, AI-Based Desktop Test Generator (AIDTG","extracted","fulltext","2026-04-17T08:48:32.370645+00:00","gemini-3.1-pro-preview","11289","1197","0.0369",""
"doi:10.1145/3727967.3756830","A friend or a foe? Evaluating ChatGPT's Impact on Students' Computational Thinking Skills","","2025","Proceedings of the 29th International Conference on Evaluation and Assessment in Software Engineering Ease 2025 Edition Ease Companion 2025","Not found","Not found","With the easy accessibility of generative AI tools, software engineering students are increasingly using these tools in their coursework. However, the impact of these tools on the students’ development of core computational thinking skills remains unclear. In this paper, we present our ongoing research that investigates whether access to ChatGPT during the learning process influences students’ understanding and retention of essential computational skills. We specifically look at their ability to","extracted","abstract_only","2026-04-17T08:48:46.473905+00:00","gemini-3.1-pro-preview","5919","333","0.0158",""
"doi:10.1109/tse.2026.3658163","Improving Gas Efficiency in Smart Contracts: Data-Driven Insights and LLM-Assisted Remediation","","2026","IEEE Transactions on Software Engineering","A*","Journal","Smart contracts, primarily written in Solidity, are Turing-complete programs on platforms like Ethereum, requiring gas fees for deployment and execution. Gas quantifies computational costs, and inefficient contracts result in unnecessary expenses for developers and users. Gas optimization at the source code level has been studied in various related works; however, existing methods for summarizing gas-inefficient patterns primarily rely on author-defined rules or heuristic approaches, and their e","extracted","abstract_only","2026-04-17T08:48:50.198656+00:00","gemini-3.1-pro-preview","5993","315","0.0158",""
"doi:10.1145/3769694.3771128","ChatGPT in Introductory Programming: Counterbalanced Evaluation of Code Quality, Conceptual Learning, and Student Perceptions","","2025","ACM Sigcite 2025 Proceedings of the 26th ACM Annual Conference on Cybersecurity and Information Technology Education","Not found","Not found","Background: Large language models (LLMs) such as ChatGPT are increasingly used in introductory programming courses to provide real-time code generation, debugging, and explanations. While these tools can boost productivity and code quality, concerns remain about over-reliance and potential impacts on conceptual learning.","extracted","fulltext","2026-04-17T08:48:50.611750+00:00","gemini-3.1-pro-preview","9205","949","0.0298",""
"doi:10.1145/3774752","Evaluating AI Models for Autograding Explain in Plain English Questions: Challenges and Considerations","","2025","ACM Trans. Interact. Intell. Syst.","Not found","Not found","Code-reading ability has traditionally been under-emphasized in assessments as it is difficult to assess at scale. Prior research has shown that code-reading and code-writing are closely related skills; thus being able to assess and train code reading skills may be necessary for student learning. One way to assess code-reading ability is using Explain in Plain English (EiPE) questions, which ask students to describe what a piece of code does with natural language. Previous research deployed a bi","extracted","abstract_only","2026-04-17T08:48:57.146699+00:00","gemini-3.1-pro-preview","5965","764","0.0211",""
"doi:10.1007/s40747-025-02051-z","Collaborative LLM agents for flexible software development of intelligent industrial robot control systems","","2025","Complex and Intelligent Systems","B","Journal","Software plays a crucial role in robot control systems, and its efficient, flexible development is essential for production. Such software must be customized to specific production processes, requiring developers with specialized expertise in these areas—the high development threshold results in reduced efficiency and increased costs. Recently, significant progress has been made in automated problem-solving through societies of agents based on large language models (LLMs). To automate software d","extracted","abstract_only","2026-04-17T08:48:57.388591+00:00","gemini-3.1-pro-preview","5855","314","0.0155",""
"doi:10.1109/ms.2026.3667154","Trust But Verify: Analyzing the Trade-offs of AI-Generated Code","","2026","IEEE Software","B","Journal","AI tools such as ChatGPT have become extensively integrated into software engineering today. Still, problems have remained regarding the quality and reliability of their answers. In this study, we have conducted a two-dimensional analysis for understanding the abilities and limitations of these tools. First, we quantitatively analyze ChatGPT’s answers to 4000 developer questions on Stack Overflow for checking security and quality issues. Following this, we capture the hands-on experience of deve","extracted","abstract_only","2026-04-17T08:49:01.314670+00:00","gemini-3.1-pro-preview","5783","310","0.0153",""
"doi:10.1609/aaai.v40i47.41475","NOVAID: Natural-language Observability Visualization Assistant for ITOps Dashboard Widget Generation","","2026","Proceedings of the Aaai Conference on Artificial Intelligence","Not found","Not found","Manual creation of IT monitoring dashboard widgets is slow, error-prone, and a barrier for both novice and expert users. We present NOVAID, an interactive chatbot that leverages Large Language Models (LLMs) to generate IT monitoring widgets directly from natural language queries. Unlike general natural language–to-visualization tools, NOVAID addresses IT operations–specific challenges: specialized widget types like SLO charts, dynamic API-driven data retrieval, and complex contextual filters. Th","extracted","fulltext","2026-04-17T08:49:09.277756+00:00","gemini-3.1-pro-preview","9205","1144","0.0321",""
"doi:10.1145/3756681.3757081","Paradigm shift on Coding Productivity Using GenAI","","2025","Proceedings of the 29th International Conference on Evaluation and Assessment in Software Engineering Ease 2025 Edition Ease 2025","Not found","Not found","Generative AI (GenAI) applications are transforming software engineering by enabling automated code co-creation. However, empirical evidence on GenAI’s productivity effects in industrial settings remains limited. This paper investigates the adoption of GenAI coding assistants (e.g., Codeium, Amazon Q) within telecommunications and FinTech domains. Through surveys and interviews with industrial domain experts, we identify primary productivity-influencing factors, including task complexity, coding","extracted","fulltext","2026-04-17T08:49:10.054332+00:00","gemini-3.1-pro-preview","8685","966","0.029",""
