"paper_id","doi","title","venue","scis_rank","safe_filename","status","source","pdf_url","attempts","first_attempt_date","last_attempt_date","retrieved_at","file_size_bytes","notes"
"doi:10.1007/s00766-026-00457-w","10.1007/s00766-026-00457-w","Addressing trust requirements in the design of an open-source multi-agent LLM-based domain-specific chatbot","Requirements Engineering","Not found","doi_10.1007_s00766-026-00457-w.pdf","retrieved","unpaywall","https://doi.org/10.1007/s00766-026-00457-w","4","2026-04-16","2026-04-16","2026-04-16T06:16:28.132081+00:00","3822986","unpaywall_ok; download_ok_url1; valid_pdf_3822986bytes"
"doi:10.1145/3777904","10.1145/3777904","Programming Challenges and Perceptions: A Study of Separate Groups before and after the Release of ChatGPT","ACM Transactions on Computing Education","B","doi_10.1145_3777904.pdf","retrieved","existing_on_disk","","2","2026-04-16","2026-04-16","2026-04-16T06:15:37.536385+00:00","6341962","valid_pdf_6341962bytes"
"doi:10.1145/3779296","10.1145/3779296","LLMs Integration in Software Engineering Team Projects: Roles, Impact, and a Pedagogical Design Space for AI Tools in Computing Education","ACM Trans. Comput. Educ.","Not found","doi_10.1145_3779296.pdf","retrieved","existing_on_disk","","2","2026-04-16","2026-04-16","2026-04-16T06:15:37.537186+00:00","1465966","valid_pdf_1465966bytes"
"doi:10.1016/j.giq.2026.102128","10.1016/j.giq.2026.102128","Positioning public sector practitioners as ‘moral crumple zones’: Mechanisms in the early use of generative AI work support tools","Government Information Quarterly","Not found","doi_10.1016_j.giq.2026.102128.pdf","failed","unpaywall","https://doi.org/10.1016/j.giq.2026.102128","6","2026-04-16","2026-04-16","","0","unpaywall_ok; download_failed_all_4_urls; semscholar_no_oa_pdf; arxiv_not_preprint; arxiv_search_no_results"
"doi:10.1007/s10664-025-10758-3","10.1007/s10664-025-10758-3","LLMs as Hackers: Autonomous Linux Privilege Escalation Attacks","Empirical Software Engineering","A*","doi_10.1007_s10664-025-10758-3.pdf","retrieved","unpaywall","https://link.springer.com/content/pdf/10.1007/s10664-025-10758-3.pdf","2","2026-04-16","2026-04-16","2026-04-16T03:32:14.277857+00:00","4673926","unpaywall_ok; download_ok; valid_pdf_4673926bytes"
"doi:10.1007/s10664-026-10813-7","10.1007/s10664-026-10813-7","Can generative AI bridge the gap? A quasi-experimental study of non-programmers with AI vs. programmers without AI","Empirical Software Engineering","A*","doi_10.1007_s10664-026-10813-7.pdf","retrieved","existing_on_disk","","2","2026-04-16","2026-04-16","2026-04-16T06:15:37.537982+00:00","1213401","valid_pdf_1213401bytes"
"doi:10.1016/j.jss.2025.112727","10.1016/j.jss.2025.112727","An empirical study on low-code programming using traditional vs large language model support","Journal of Systems and Software","A","doi_10.1016_j.jss.2025.112727.pdf","retrieved","existing_on_disk","https://eprints.gla.ac.uk/373661/1/373661.pdf","2","2026-04-16","2026-04-16","2026-04-16T06:15:37.538559+00:00","9493987","valid_pdf_9493987bytes"
"doi:10.5815/ijmecs.2026.02.05","10.5815/ijmecs.2026.02.05","Quality Evaluation of Indonesian Student-generated User Stories: Insight from Human and ChatGPT Evaluation","International Journal of Modern Education and Computer Science","Not found","doi_10.5815_ijmecs.2026.02.05.pdf","retrieved","unpaywall","https://www.mecs-press.org/ijmecs/ijmecs-v18-n2/IJMECS-V18-N2-5.pdf","2","2026-04-16","2026-04-16","2026-04-16T03:32:26.197808+00:00","2017251","unpaywall_ok; download_ok; valid_pdf_2017251bytes"
"doi:10.3390/computers15030154","10.3390/computers15030154","Human–AI Collaboration in Programming Education: Student Perspectives on LLM-Based Coding Assistants","Computers","Not found","doi_10.3390_computers15030154.pdf","failed","unpaywall","https://doi.org/10.3390/computers15030154","6","2026-04-16","2026-04-16","","0","unpaywall_ok; download_failed_all_4_urls; semscholar_rate_limited; arxiv_not_preprint; arxiv_search_no_results"
"doi:10.1016/j.jss.2025.112685","10.1016/j.jss.2025.112685","Automated end-to-end testing for conversational agents","Journal of Systems and Software","A","doi_10.1016_j.jss.2025.112685.pdf","failed","unpaywall","https://doi.org/10.1016/j.jss.2025.112685","6","2026-04-16","2026-04-16","","0","unpaywall_ok; download_failed_all_4_urls; semscholar_rate_limited; arxiv_not_preprint; arxiv_search_no_results"
"doi:10.1145/3742475","10.1145/3742475","ComCat: Expertise-Guided Context Generation to Enhance Code Comprehension","ACM Trans. Softw. Eng. Methodol.","A*","doi_10.1145_3742475.pdf","retrieved","existing_on_disk","","2","2026-04-16","2026-04-16","2026-04-16T06:15:37.539291+00:00","36286886","valid_pdf_36286886bytes"
"doi:10.1145/3735553","10.1145/3735553","Large Language Models for Automated Web-Form-Test Generation: An Empirical Study","ACM Transactions on Software Engineering and Methodology","A*","doi_10.1145_3735553.pdf","retrieved","existing_on_disk","","2","2026-04-16","2026-04-16","2026-04-16T06:15:37.539851+00:00","38218061","valid_pdf_38218061bytes"
"doi:10.1002/cae.70177","10.1002/cae.70177","Integrating GenAI Tools Into Software Engineering Education","Computer Applications in Engineering Education","Not found","doi_10.1002_cae.70177.pdf","failed","","","6","2026-04-16","2026-04-16","","0","unpaywall_no_oa_location; semscholar_rate_limited; arxiv_not_preprint; arxiv_search_no_results"
"doi:10.1021/acsomega.5c12654","10.1021/acsomega.5c12654","Generative AI Driven Process Calculations for Fuel Cells and Flow Batteries","ACS Omega","Not found","doi_10.1021_acsomega.5c12654.pdf","failed","unpaywall","https://doi.org/10.1021/acsomega.5c12654","6","2026-04-16","2026-04-16","","0","unpaywall_ok; download_failed_all_4_urls; semscholar_rate_limited; arxiv_not_preprint; arxiv_search_no_results"
"doi:10.1145/3770762.3772668","10.1145/3770762.3772668","A ‘watch your replay videos’ Reflection Assignment on Comparing Programming without versus with Generative AI: Learning about Programming, Critical AI Use and Limitations, and Reflection","SIGCSE TS 2026 Proceedings of the 57th ACM Technical Symposium on Computer Science Education V 1","Not found","doi_10.1145_3770762.3772668.pdf","retrieved","existing_on_disk","https://doi.org/10.1145/3770762.3772668","2","2026-04-16","2026-04-16","2026-04-16T06:15:37.540613+00:00","961886","valid_pdf_961886bytes"
"doi:10.1145/3770762.3772662","10.1145/3770762.3772662","Owlgorithm: Supporting Self-Regulated Learning in Competitive Programming through LLM-Driven Reflection","SIGCSE TS 2026 Proceedings of the 57th ACM Technical Symposium on Computer Science Education V 1","Not found","doi_10.1145_3770762.3772662.pdf","retrieved","arxiv_search","https://arxiv.org/pdf/2511.09969.pdf","4","2026-04-16","2026-04-16","2026-04-16T07:24:31.250334+00:00","675792","unpaywall_ok; download_failed_all_4_urls; semscholar_no_oa_pdf; arxiv_not_preprint; arxiv_search_match_overlap=1.00_id=2511.09969; download_ok_url0; valid_pdf_675792bytes"
"doi:10.3390/systems14020153","10.3390/systems14020153","Stage-Aware Governance of Large Language Models: Managing Uncertainty and Human Oversight in AI-Assisted Literature Review Systems","Systems","Not found","doi_10.3390_systems14020153.pdf","failed","unpaywall","https://www.mdpi.com/2079-8954/14/2/153/pdf","6","2026-04-16","2026-04-16","","0","unpaywall_ok; download_failed_all_1_urls; semscholar_no_oa_pdf; arxiv_not_preprint; arxiv_search_no_results"
"doi:10.3390/app16042120","10.3390/app16042120","AgoraAI: An Open-Source Voice-to-Voice Framework for Multi-Persona and Multi-Human Interaction","Applied Sciences Switzerland","Not found","doi_10.3390_app16042120.pdf","failed","unpaywall","https://www.mdpi.com/2076-3417/16/4/2120/pdf?version=1771746806","6","2026-04-16","2026-04-16","","0","unpaywall_ok; download_failed_all_1_urls; semscholar_no_oa_pdf; arxiv_not_preprint; arxiv_search_no_results"
"doi:10.3390/electronics15040903","10.3390/electronics15040903","Prompt-Driven Development with Claude Code: Developing a TUI Framework for the Ring Programming Language","Electronics Switzerland","Not found","doi_10.3390_electronics15040903.pdf","failed","unpaywall","https://www.mdpi.com/2079-9292/15/4/903/pdf?version=1771852708","6","2026-04-16","2026-04-16","","0","unpaywall_ok; download_failed_all_1_urls; semscholar_no_oa_pdf; arxiv_not_preprint; arxiv_search_no_results"
"doi:10.59543/gk2qp136","10.59543/gk2qp136","AI Pair Programming and Knowledge Sharing in Developer Communities","Journal of Intelligent Decision Making and Information Science","Not found","doi_10.59543_gk2qp136.pdf","retrieved","unpaywall","https://jidmis.org/index.php/jidmis/article/download/209/138","2","2026-04-16","2026-04-16","2026-04-16T03:33:24.766298+00:00","945563","unpaywall_ok; download_ok; valid_pdf_945563bytes"
"doi:10.1109/tse.2026.3659293","10.1109/TSE.2026.3659293","Human Cognitive Pattern Simulation for Crowdsourced Test Report Consistency Detection","IEEE Transactions on Software Engineering","A*","doi_10.1109_tse.2026.3659293.pdf","failed","","","6","2026-04-16","2026-04-16","","0","unpaywall_no_oa_location; semscholar_no_oa_pdf; arxiv_not_preprint; arxiv_search_no_results"
"doi:10.1109/ms.2026.3671677","10.1109/MS.2026.3671677","AI-assisted Collaboration: Exploring Developer Experience with GitHub Copilot and Windsurf","IEEE Software","B","doi_10.1109_ms.2026.3671677.pdf","failed","","","6","2026-04-16","2026-04-16","","0","unpaywall_no_oa_location; semscholar_no_oa_pdf; arxiv_not_preprint; arxiv_search_no_results"
"doi:10.1109/tse.2026.3663093","10.1109/TSE.2026.3663093","Impact of an LLM-based Review Assistant in Practice: A Mixed Open-/Closed-source Case Study","IEEE Transactions on Software Engineering","A*","doi_10.1109_tse.2026.3663093.pdf","failed","","","6","2026-04-16","2026-04-16","","0","unpaywall_no_oa_location; semscholar_no_oa_pdf; arxiv_not_preprint; arxiv_search_no_results"
"doi:10.1109/access.2026.3663331","10.1109/ACCESS.2026.3663331","Prompt Engineering for Advancing Software Engineering: Using Generative Language Models in the Development of Domain-Specific Languages","IEEE Access","A","doi_10.1109_access.2026.3663331.pdf","failed","unpaywall","https://doi.org/10.1109/access.2026.3663331","6","2026-04-16","2026-04-16","","0","unpaywall_ok; download_failed_all_4_urls; semscholar_rate_limited; arxiv_not_preprint; arxiv_search_no_results"
"doi:10.18267/j.aip.282","10.18267/j.aip.282","Data Science Framework for Adaptive Expert Systems: Psychological Profiling and Knowledge Fusion in Higher Education","Acta Informatica Pragensia","Not found","doi_10.18267_j.aip.282.pdf","retrieved","unpaywall","https://aip.vse.cz/doi/10.18267/j.aip.282.pdf","2","2026-04-16","2026-04-16","2026-04-16T03:35:14.877875+00:00","1041723","unpaywall_ok; download_ok; valid_pdf_1041723bytes"
"doi:10.12688/openreseurope.22009.1","10.12688/openreseurope.22009.1","How generative AI is shaping research software development and maintenance at a research-intensive university","Open Research Europe","Not found","doi_10.12688_openreseurope.22009.1.pdf","failed","unpaywall","https://doi.org/10.12688/openreseurope.22009.1","6","2026-04-16","2026-04-16","","0","unpaywall_ok; download_failed_all_4_urls; semscholar_no_oa_pdf; arxiv_not_preprint; arxiv_search_no_results"
"doi:10.1109/ms.2026.3668669","10.1109/MS.2026.3668669","From User Stories to Architectures: Using LLM-powered Agents to Design and Improve Microservice-based Software","IEEE Software","B","doi_10.1109_ms.2026.3668669.pdf","failed","","","6","2026-04-16","2026-04-16","","0","unpaywall_no_oa_location; semscholar_no_oa_pdf; arxiv_not_preprint; arxiv_search_no_results"
"doi:10.1109/ms.2025.3644903","10.1109/MS.2025.3644903","Is ChatGPT-Generated Code Really Green?: Evaluating AI-Generated Solutions for Energy-Efficient Coding Practices","IEEE Software","B","doi_10.1109_ms.2025.3644903.pdf","failed","","","6","2026-04-16","2026-04-16","","0","unpaywall_no_oa_location; semscholar_no_oa_pdf; arxiv_not_preprint; arxiv_search_no_results"
"doi:10.1109/tse.2025.3632765","10.1109/TSE.2025.3632765","How Can ChatGPT Support Human Security Testers to Help Mitigate Supply Chain Attacks?","IEEE Transactions on Software Engineering","A*","doi_10.1109_tse.2025.3632765.pdf","retrieved","arxiv_search","https://arxiv.org/pdf/2310.00710.pdf","5","2026-04-16","2026-04-16","2026-04-16T08:55:38.053625+00:00","6130978","unpaywall_no_oa_location; semscholar_no_oa_pdf; arxiv_not_preprint; arxiv_search_match_overlap=1.00_id=2310.00710; download_ok_url0; valid_pdf_6130978bytes"
"doi:10.1109/tase.2026.3673004","10.1109/TASE.2026.3673004","Learning to Tune Like an Expert: Interpretable and Scene-Aware Navigation via MLLM Reasoning and CVAE-Based Adaptation","IEEE Transactions on Automation Science and Engineering","A*","doi_10.1109_tase.2026.3673004.pdf","failed","","","6","2026-04-16","2026-04-16","","0","unpaywall_no_oa_location; semscholar_no_oa_pdf; arxiv_not_preprint; arxiv_search_no_results"
"doi:10.5152/electrica.2026.25033","10.5152/electrica.2026.25033","Enhancing Software Development with Large Language Models: A Case Study of Kolay.ai","Electrica","Not found","doi_10.5152_electrica.2026.25033.pdf","retrieved","unpaywall","https://electricajournal.org/index.php/pub/article/download/1290/1274","2","2026-04-16","2026-04-16","2026-04-16T03:35:31.725506+00:00","1257162","unpaywall_ok; download_ok; valid_pdf_1257162bytes"
"doi:10.1109/access.2026.3671629","10.1109/ACCESS.2026.3671629","A Business Process-Centric Approach for LLM-Driven Functional Test Generation","IEEE Access","A","doi_10.1109_access.2026.3671629.pdf","failed","unpaywall","https://doi.org/10.1109/access.2026.3671629","6","2026-04-16","2026-04-16","","0","unpaywall_ok; download_failed_all_4_urls; semscholar_no_oa_pdf; arxiv_not_preprint; arxiv_search_no_results"
"doi:10.1109/tse.2026.3651566","10.1109/TSE.2026.3651566","Identifying and Mitigating API Misuse in Large Language Models","IEEE Transactions on Software Engineering","A*","doi_10.1109_tse.2026.3651566.pdf","retrieved","arxiv_search","https://arxiv.org/pdf/2503.22821.pdf","5","2026-04-16","2026-04-16","2026-04-16T08:56:02.388960+00:00","1752261","unpaywall_no_oa_location; semscholar_no_oa_pdf; arxiv_not_preprint; arxiv_search_match_overlap=1.00_id=2503.22821; download_ok_url0; valid_pdf_1752261bytes"
"doi:10.1109/te.2025.3646934","10.1109/TE.2025.3646934","CliCFPGA: Leveraging FPGA Education and Research Through Collaborative and Low-Code Heterogeneous Platform","IEEE Transactions on Education","B","doi_10.1109_te.2025.3646934.pdf","failed","","","6","2026-04-16","2026-04-16","","0","unpaywall_no_oa_location; semscholar_no_oa_pdf; arxiv_not_preprint; arxiv_search_no_results"
"doi:10.3390/app16020723","10.3390/app16020723","Hybrid Usability Evaluation of an Automotive REM Tool: Human and LLM-Based Heuristic Assessment of IBM Doors Next","Applied Sciences Switzerland","Not found","doi_10.3390_app16020723.pdf","failed","unpaywall","https://www.mdpi.com/2076-3417/16/2/723/pdf?version=1767975817","6","2026-04-16","2026-04-16","","0","unpaywall_ok; download_failed_all_1_urls; semscholar_no_oa_pdf; arxiv_not_preprint; arxiv_search_no_results"
"doi:10.1109/ms.2025.3621128","10.1109/MS.2025.3621128","Using LLMs to Bridge the Gaps in QA Test Plans at Firefox","IEEE Software","B","doi_10.1109_ms.2025.3621128.pdf","failed","","","6","2026-04-16","2026-04-16","","0","unpaywall_no_oa_location; semscholar_no_oa_pdf; arxiv_not_preprint; arxiv_search_no_results"
"doi:10.1109/tse.2026.3658163","10.1109/TSE.2026.3658163","Improving Gas Efficiency in Smart Contracts: Data-Driven Insights and LLM-Assisted Remediation","IEEE Transactions on Software Engineering","A*","doi_10.1109_tse.2026.3658163.pdf","failed","","","6","2026-04-16","2026-04-16","","0","unpaywall_no_oa_location; semscholar_no_oa_pdf; arxiv_not_preprint; arxiv_search_no_results"
"doi:10.1109/ms.2026.3667154","10.1109/MS.2026.3667154","Trust But Verify: Analyzing the Trade-offs of AI-Generated Code","IEEE Software","B","doi_10.1109_ms.2026.3667154.pdf","failed","","","6","2026-04-16","2026-04-16","","0","unpaywall_no_oa_location; semscholar_rate_limited; arxiv_not_preprint; arxiv_search_no_results"
"doi:10.1002/kpm.70060","10.1002/kpm.70060","Exploring Academics' Orientation Towards Large Language Model Adoption: A Knowledge Management Approach Using ChatGPT and Retrieval-Augmented Generation","Knowledge and Process Management","Not found","doi_10.1002_kpm.70060.pdf","failed","","","6","2026-04-16","2026-04-16","","0","unpaywall_no_oa_location; semscholar_no_oa_pdf; arxiv_not_preprint; arxiv_search_no_results"
"doi:10.1609/aaai.v40i47.41475","10.1609/aaai.v40i47.41475","NOVAID: Natural-language Observability Visualization Assistant for ITOps Dashboard Widget Generation","Proceedings of the Aaai Conference on Artificial Intelligence","Not found","doi_10.1609_aaai.v40i47.41475.pdf","retrieved","unpaywall","https://ojs.aaai.org/index.php/AAAI/article/download/41475/45436","3","2026-04-16","2026-04-16","2026-04-16T06:19:58.153601+00:00","1901535","unpaywall_ok; download_ok_url0; valid_pdf_1901535bytes"
"doi:10.1177/21582440251413066","10.1177/21582440251413066","Exploring How to Improve Programming Learning Experience with Generative AI Tools: An Integrated Means-End Chain and fsQCA Approach","Sage Open","Not found","doi_10.1177_21582440251413066.pdf","failed","unpaywall","https://doi.org/10.1177/21582440251413066","6","2026-04-16","2026-04-16","","0","unpaywall_ok; download_failed_all_4_urls; semscholar_rate_limited; arxiv_not_preprint; arxiv_search_no_results"
"doi:10.14569/ijacsa.2025.0161272","10.14569/IJACSA.2025.0161272","Engineering Prompt-Orchestrated LLM Workflows for Automated Test Case Generation in Agile Environments","International Journal of Advanced Computer Science and Applications","Not found","doi_10.14569_ijacsa.2025.0161272.pdf","retrieved","unpaywall","https://thesai.org/Downloads/Volume16No12/Paper_72-Engineering_Prompt_Orchestrated_LLM_Workflows.pdf","2","2026-04-16","2026-04-16","2026-04-16T03:37:42.487735+00:00","528323","unpaywall_ok; download_ok; valid_pdf_528323bytes"
"doi:10.1145/3773274.3774686","10.1145/3773274.3774686","LLM4FaaS: No-Code Application Development using LLMs and FaaS","Proceedings of the 18th IEEE/ACM International Conference on Utility and Cloud Computing","Not found","doi_10.1145_3773274.3774686.pdf","retrieved","existing_on_disk","https://doi.org/10.1145/3773274.3774686","3","2026-04-16","2026-04-16","2026-04-16T07:22:41.190335+00:00","691148","valid_pdf_691148bytes"
"doi:10.1145/3769694.3771107","10.1145/3769694.3771107","Not All Chatbots Teach: Evidence for Pedagogical Design in AI-Assisted Technical Education","ACM Sigcite 2025 Proceedings of the 26th ACM Annual Conference on Cybersecurity and Information Technology Education","Not found","doi_10.1145_3769694.3771107.pdf","retrieved","existing_on_disk","https://doi.org/10.1145/3769694.3771107","3","2026-04-16","2026-04-16","2026-04-16T07:22:41.190551+00:00","702351","valid_pdf_702351bytes"
"doi:10.1145/3769694.3771128","10.1145/3769694.3771128","ChatGPT in Introductory Programming: Counterbalanced Evaluation of Code Quality, Conceptual Learning, and Student Perceptions","ACM Sigcite 2025 Proceedings of the 26th ACM Annual Conference on Cybersecurity and Information Technology Education","Not found","doi_10.1145_3769694.3771128.pdf","retrieved","arxiv_search","https://arxiv.org/pdf/2510.00946.pdf","4","2026-04-16","2026-04-16","2026-04-16T07:31:00.187861+00:00","631862","unpaywall_no_oa_location; semscholar_no_oa_pdf; arxiv_not_preprint; arxiv_search_match_overlap=1.00_id=2510.00946; download_ok_url0; valid_pdf_631862bytes"
"doi:10.1145/3756681.3757081","10.1145/3756681.3757081","Paradigm shift on Coding Productivity Using GenAI","Proceedings of the 29th International Conference on Evaluation and Assessment in Software Engineering Ease 2025 Edition Ease 2025","Not found","doi_10.1145_3756681.3757081.pdf","retrieved","arxiv_search","https://arxiv.org/pdf/2504.18404.pdf","4","2026-04-16","2026-04-16","2026-04-16T07:31:33.880627+00:00","945809","unpaywall_ok; download_failed_all_4_urls; semscholar_no_oa_pdf; arxiv_not_preprint; arxiv_search_match_overlap=1.00_id=2504.18404; download_ok_url0; valid_pdf_945809bytes"
"doi:10.1145/3756681.3756938","10.1145/3756681.3756938","Do Prompt Patterns Affect Code Quality? A First Empirical Assessment of ChatGPT-Generated Code","Proceedings of the 29th International Conference on Evaluation and Assessment in Software Engineering Ease 2025 Edition Ease 2025","Not found","doi_10.1145_3756681.3756938.pdf","retrieved","arxiv_search","https://arxiv.org/pdf/2504.13656.pdf","4","2026-04-16","2026-04-16","2026-04-16T07:31:57.819232+00:00","1529838","unpaywall_ok; download_failed_all_4_urls; semscholar_no_oa_pdf; arxiv_not_preprint; arxiv_search_match_overlap=1.00_id=2504.13656; download_ok_url0; valid_pdf_1529838bytes"
"doi:10.1145/3727967.3756830","10.1145/3727967.3756830","A friend or a foe? Evaluating ChatGPT's Impact on Students' Computational Thinking Skills","Proceedings of the 29th International Conference on Evaluation and Assessment in Software Engineering Ease 2025 Edition Ease Companion 2025","Not found","doi_10.1145_3727967.3756830.pdf","failed","unpaywall","https://doi.org/10.1145/3727967.3756830","6","2026-04-16","2026-04-16","","0","unpaywall_ok; download_failed_all_4_urls; semscholar_no_oa_pdf; arxiv_not_preprint; arxiv_search_no_results"
"doi:10.1145/3774752","10.1145/3774752","Evaluating AI Models for Autograding Explain in Plain English Questions: Challenges and Considerations","ACM Trans. Interact. Intell. Syst.","Not found","doi_10.1145_3774752.pdf","failed","","","6","2026-04-16","2026-04-16","","0","unpaywall_no_oa_location; semscholar_rate_limited; arxiv_not_preprint; arxiv_search_no_results"
"doi:10.1007/s40747-025-02051-z","10.1007/s40747-025-02051-z","Collaborative LLM agents for flexible software development of intelligent industrial robot control systems","Complex and Intelligent Systems","B","doi_10.1007_s40747-025-02051-z.pdf","retrieved","unpaywall","https://link.springer.com/content/pdf/10.1007/s40747-025-02051-z.pdf","2","2026-04-16","2026-04-16","2026-04-16T03:39:08.375768+00:00","13708820","unpaywall_ok; download_ok; valid_pdf_13708820bytes"
"doi:10.1007/s10257-025-00704-7","10.1007/s10257-025-00704-7","Managing expectations towards AI tools for software development: a multiple-case study","Information Systems and E Business Management","B","doi_10.1007_s10257-025-00704-7.pdf","retrieved","unpaywall","https://link.springer.com/content/pdf/10.1007/s10257-025-00704-7.pdf","2","2026-04-16","2026-04-16","2026-04-16T03:39:16.376435+00:00","938867","unpaywall_ok; download_ok; valid_pdf_938867bytes"
"doi:10.1038/s41598-025-98378-1","10.1038/s41598-025-98378-1","Testing the limits of large language models in debating humans","Scientific Reports","A","doi_10.1038_s41598-025-98378-1.pdf","retrieved","unpaywall","https://www.nature.com/articles/s41598-025-98378-1.pdf","2","2026-04-16","2026-04-16","2026-04-16T03:39:23.025718+00:00","2966711","unpaywall_ok; download_ok; valid_pdf_2966711bytes"
"doi:10.1016/j.jss.2025.112541","10.1016/j.jss.2025.112541","LLMs and Stack Overflow discussions: Reliability, impact, and challenges","Journal of Systems and Software","A","doi_10.1016_j.jss.2025.112541.pdf","retrieved","arxiv_search","https://arxiv.org/pdf/2402.08801.pdf","4","2026-04-16","2026-04-16","2026-04-16T07:32:47.634144+00:00","1648934","unpaywall_ok; download_failed_all_4_urls; semscholar_no_oa_pdf; arxiv_not_preprint; arxiv_search_match_overlap=1.00_id=2402.08801; download_ok_url0; valid_pdf_1648934bytes"
"doi:10.3390/app152413185","10.3390/app152413185","Temporal Dynamics of Harmful Speech in Chatbot–User Dialogues: A Comparative Study of LLM and Chit-Chat Systems","Applied Sciences Switzerland","Not found","doi_10.3390_app152413185.pdf","failed","unpaywall","https://www.mdpi.com/2076-3417/15/24/13185/pdf?version=1765892796","6","2026-04-16","2026-04-16","","0","unpaywall_ok; download_failed_all_1_urls; semscholar_no_oa_pdf; arxiv_not_preprint; arxiv_search_no_results"
"doi:10.1007/s10664-025-10730-1","10.1007/s10664-025-10730-1","Continuance use of AI coding assistants among South Korean Industry Developers: A survey case study with large language models","Empirical Software Engineering","A*","doi_10.1007_s10664-025-10730-1.pdf","retrieved","existing_on_disk","","4","2026-04-16","2026-04-16","2026-04-16T08:53:02.625878+00:00","1244912","valid_pdf_1244912bytes"
"doi:10.14569/ijacsa.2025.0161190","10.14569/IJACSA.2025.0161190","AI in Web Development: A Comparative Study of Traditional Coding and LLM-Based Low-Code Platforms","International Journal of Advanced Computer Science and Applications","Not found","doi_10.14569_ijacsa.2025.0161190.pdf","retrieved","unpaywall","https://thesai.org/Downloads/Volume16No11/Paper_90-AI_in_Web_Development_A_Comparative_Study.pdf","2","2026-04-16","2026-04-16","2026-04-16T03:39:35.130645+00:00","1443249","unpaywall_ok; download_ok; valid_pdf_1443249bytes"
"doi:10.1145/3769994.3769997","10.1145/3769994.3769997","Designing for Novice Debuggers: A Pilot Study on an AI-Assisted Debugging Tool","Proceedings of the 25th Koli Calling International Conference on Computing Education Research","Not found","doi_10.1145_3769994.3769997.pdf","retrieved","arxiv_search","https://arxiv.org/pdf/2509.21067.pdf","4","2026-04-16","2026-04-16","2026-04-16T07:33:19.555704+00:00","2718656","unpaywall_ok; download_failed_all_4_urls; semscholar_no_oa_pdf; arxiv_not_preprint; arxiv_search_match_overlap=1.00_id=2509.21067; download_ok_url0; valid_pdf_2718656bytes"
"doi:10.1145/3769994.3770029","10.1145/3769994.3770029","Evolution of Programmers' Trust in Generative AI Programming Assistants","Proceedings of the 25th Koli Calling International Conference on Computing Education Research","Not found","doi_10.1145_3769994.3770029.pdf","retrieved","arxiv_search","https://arxiv.org/pdf/2509.13253.pdf","4","2026-04-16","2026-04-16","2026-04-16T07:33:39.719847+00:00","705752","unpaywall_ok; download_failed_all_4_urls; semscholar_no_oa_pdf; arxiv_not_preprint; arxiv_search_match_overlap=1.00_id=2509.13253; download_ok_url0; valid_pdf_705752bytes"
