"paper_id","capability_id","evidence"
"doi:10.1145/3756681.3757081","CAP_PROGREPAIR","Both 'Write tests' and 'Fix bugs' show similar levels at around 3.4."
"doi:10.1145/3756681.3757081","CAP_CODECOMP","Wrong auto-completion code suggestions"
"doi:10.1145/3756681.3757081","CAP_CODEREVIEW","60% of participants cited reduced effort for code refactoring (e.g., functions and variables updates) and review (e.g., code explanation) tasks."
"doi:10.1007/s10257-025-00704-7","CAP_CODEGEN","P5 and P14, who have used ChatGPT to generate code."
"doi:10.1007/s10257-025-00704-7","CAP_TESTING","And another thing that I was using it [GitHub Copilot, ed.] for is for tests."
"doi:10.1007/s10257-025-00704-7","CAP_REQENG","P13 had used ChatGPT to generate user stories due to lack of experience."
"doi:10.1007/s10257-025-00704-7","CAP_DOCGEN","chat feature for documenting third-party libraries in products."
"doi:10.1145/3773274.3774686","CAP_CODEGEN","leveraging (i) the natural language processing capabilities of LLMs to transform user requirements into code snippets"
"doi:10.1145/3773274.3774686","CAP_CICD","Function Deployer, which interacts with the FaaS platform for function registration and deployment"
"doi:10.1016/j.jss.2025.112541","CAP_CODEGEN","LLMs are prompted to answer questions providing software development solutions and code snippets, mimicking Stack Overflow."
"doi:10.1016/j.jss.2025.112541","CAP_DEBUGGING","Questions involve finding issues in code snippets or resolving errors using conversational LLMs."
"doi:10.1007/s10664-025-10730-1","CAP_CODEGEN","accelerating code generation and debugging to aiding in documentation and refactoring tasks"
"doi:10.1007/s10664-025-10730-1","CAP_DEBUGGING","significantly reduced time spent on debugging complex or elusive errors"
"doi:10.1007/s10664-025-10730-1","CAP_DOCGEN","ease and accuracy of generating comprehensive documentation for intricate codebases"
"doi:10.1007/s10664-025-10730-1","CAP_REFACTORING","streamlined and reliable refactoring suggestions"
"doi:10.1007/s10664-025-10730-1","CAP_TESTING","automated creation of robust unit and integration test cases that effectively cover code functionalities"
"doi:10.1038/s41598-025-98378-1","CAP_MULTIAGENT","Each game starts with six humans, six agents, or three humans and three agents... The agents are assigned unique 'personas' to individuate them from each other as separate entities."
"doi:10.1038/s41598-025-98378-1","CAP_SELFREFLECT","With this compilation provided as a prompt, the agents are requested to assess the confidence of both players... also asked to determine if, based on the conversation, they should change their opinion, and if so, to what."
"doi:10.1145/3769994.3769997","CAP_DEBUGGING","The tool runs Python's spectrum-based fault localization method, FauxPy. FauxPy generates probability scores for source code line numbers, indicating the most likely sources of failed test cases... Next, we leverage an LLM to provide explanations for why these specific lines are the most probable sources of error."
"doi:10.1145/3769994.3769997","CAP_TESTING","One of the key features of the extension is the ‘End-to-End Test’ button. This button is designed to align with the standard debugging framework, incorporating backward reasoning."
"doi:10.1145/3769994.3769997","CAP_PROGREPAIR","Instead of directly providing an explanation, the LLM generates three possible solutions, with only one being correct. These options suggest possible ways to correct the error, whether syntactical or semantic."
"doi:10.1145/3733237","CAP_DEBUGGING","By employing RAG, the LLM is guided using the functional specifications and source code to identify and correct bugs... fetching additional lines of code for bug localization."
"doi:10.1145/3733237","CAP_PROGREPAIR","LLM-assisted systematic bug closure methodology... specifically, we evaluate OpenAI’s GPT-4 in its ability to identify and correct functional bugs in Verilog HDL code."
"doi:10.1145/3769994.3770029","CAP_CODEGEN","Code generation via function docstring comments. Code generation via in-line comments. Copilot chat."
"doi:10.1145/3769994.3770029","CAP_DEBUGGING","I would usually have to be the one to tell Copilot what was wrong and how to possibly fix it."
"doi:10.14569/ijacsa.2025.0161190","CAP_CODEGEN","We study what happens when LLMs are embedded inside LC/NC platforms... so that code generation, data wiring, and third-party integration are available from within the visual workflow itself"
"doi:10.1145/3663547.3759729","CAP_CODECOMP","AI code completion tools constantly suggest blocks of code as grayed-out ghost text, giving screen reader users no controls to inspect these suggestions before acting on them."
"doi:10.1145/3663547.3759729","CAP_CODEGEN","Programming and code generation using Artificial Intelligence (AI) is becoming prevalent among software developer communities... Vibe coding Tools such as Cursor[5] and Firebase Studio[25] offer increased assistance by taking in natural language instructions and operating on the user’s developer tool"
"doi:10.1145/3756681.3756938","CAP_CODEGEN","The paper investigates the impact of prompt patterns on the maintainability, security, and reliability of ChatGPT-generated source code."
"doi:10.1145/3744257.3744266","CAP_CODEGEN","The integration of Large Language Models (LLMs) into web development workflows has the potential to revolutionize user interface design, yet their ability to produce accessible interfaces still remains underexplored... comparing the output of ChatGPT and Claude with two distinct prompt types"
"doi:10.1145/3744257.3744266","CAP_SELFREFLECT","Our evaluation approach, consisting of automated testing, expert evaluation, and LLM self-reflection, reveals that accessibility-oriented prompts increase success counts"
"doi:10.3390/data10100156","CAP_TESTING","This study explores the potential of generative AI, specifically Large Language Models (LLMs), in automating unit test generation in Python 3.13."
"doi:10.1145/3716848","CAP_CODEGEN","analyzing code snippets generated by GitHub Copilot and two other AI code generation tools (i.e., CodeWhisperer and Codeium) from GitHub projects"
"doi:10.1145/3716848","CAP_PROGREPAIR","examined using Copilot Chat to fix security issues in Copilot-generated code by providing Copilot Chat with warning messages from the static analysis tools"
"doi:10.1145/3721127","CAP_CODEREVIEW","We used this prompt to generate a ChatGPT review: “You are a Python software developer expert. Conduct a code review of the attached code and provide thorough feedback to the author...”"
"doi:10.5815/ijmecs.2025.05.07","CAP_CODESEARCH","A semantic information search allows you to search for relevant code fragments, documentation, and README files based on the semantic similarity of the query, not just by keywords."
"doi:10.5815/ijmecs.2025.05.07","CAP_SELFREFLECT","Self-correction and relevance enhancement include a mechanism to check the relevance of the generated response and the possibility of retrying to search and create an answer in case the first result is low in relevance."
"doi:10.5815/ijmecs.2025.05.07","CAP_MULTIAGENT","Multiple LLMs. The system uses two LLMs integrated via the OpenRouter API for specialised tasks: The main LLM (agent) manages the overall flow... An auxiliary LLM is used to reformulate queries..."
"doi:10.29207/resti.v9i5.6950","CAP_REQENG","This study investigated ChatGPT's ability to evaluate user stories using the INVEST framework... compares two ChatGPT-based evaluation approaches with those of experienced practitioners."
"doi:10.1145/3746059.3747689","CAP_CODEGEN","ViseGPT generates data wrangling scripts based on natural language instructions."
"doi:10.1145/3746059.3747689","CAP_TESTING","ViseGPT automatically extracts constraints from user prompts to generate comprehensive test cases for verifying script reliability."
"doi:10.1145/3746059.3747689","CAP_DEBUGGING","The test results are then transformed into a tailored Gantt chart, allowing users to intuitively assess alignment with semantic requirements and iteratively refine their scripts."
"doi:10.1145/3746059.3747689","CAP_PROGREPAIR","Script Refiner can iteratively modify scripts by sending test reports, natural language instructions, and data examples as prompts to LLMs."
"doi:10.3390/computers14110501","CAP_TESTING","This framework enables one-click testing, where users provide a URL as input and receive test results as output... it utilises the LLMs API to generate Selenium-based test scripts. The scripts are executed automatically"
"doi:10.1145/3696630.3731667","CAP_CODEGEN","to support the completion of software development tasks, such as coding and program comprehension."
"doi:10.1002/spe.3432","CAP_CODEGEN","This tool, called NoCodeGPT, encapsulates all prompts related to technology and architectural requirements, so that the user does not need to have domain of these technical aspects. It also automatically saves the code generated by GPT in the correct folders."
"doi:10.1002/spe.3432","CAP_PROGREPAIR","instruments the prompts sent to the language model with useful contextual information (e.g., the files that need to be modified when the user identifies and requests a bug fix)."
"doi:10.1145/3696630.3727244","CAP_TESTING","In this study, we examined the impact of various support tools (checklist, ChatGPT, or both) on unit testing among 42 students."
"doi:10.1145/3716167","CAP_PROGREPAIR","Automated program repair (APR) has recently been gaining ground with numerous research efforts spent in the area that have been adopted in the industry. One notable class of APR is neural program repair (NPR), which typically employs deep learning techniques that are trained on vast amounts of historical data to fix bugs unseen in the past."
"doi:10.1145/3696630.3728547","CAP_DEBUGGING","TixFusion employs an LLM to extract discriminative information from defect tickets for aggregation and triage."
"doi:10.1145/3696630.3730566","CAP_CODEGEN","GitHub Copilot functions as an AI powered programming assistant, offering autocomplete-style code suggestions... [used to] churn out lots of code"
"doi:10.1145/3696630.3730566","CAP_DEBUGGING","ChatGPT serves as a conversational AI assistant, providing natural language interactions for debugging"
"doi:10.1145/3696630.3730566","CAP_TESTING","Others used it to generate unit tests, which was seen as a rather repetitive task."
"doi:10.1145/3696630.3730566","CAP_DOCGEN","Regards GenAI tools to be incredibly useful, especially for SQL queries, code autocompletion, and generating initial drafts of diagrams and documentation."
"doi:10.1145/3696630.3730566","CAP_SYSDESIGN","Regards GenAI tools to be incredibly useful... generating initial drafts of diagrams"
"doi:10.1145/3696630.3728559","CAP_DEBUGGING","LLM-based label predictions for differential testing to classify behavioral differences as noise, new feature, or regression to assist with debugging issues."
"doi:10.1145/3696630.3728559","CAP_TESTING","Automating the extraction and summarization of log information that on-call engineers use to label Diffs in differential testing."
"doi:10.3390/info16070565","CAP_SYSDESIGN","effectiveness of GPT-4-turbo in generating four fundamental UML diagram types: Class, Deployment, Use Case, and Sequence diagrams"
"doi:10.1145/3696630.3728552","CAP_CODEREVIEW","This paper presents BitsAI-CR, an innovative framework that enhances code review through a two-stage approach combining RuleChecker for initial issue detection and ReviewFilter for precision verification."
"doi:10.1016/j.infsof.2025.107751","CAP_SYSDESIGN","Facilitating the generation and evaluation of concepts, ideas, or architectures."
"doi:10.1016/j.infsof.2025.107751","CAP_CODEGEN","Natural language coding is another fundamental capability of LLMs, which assists with core tasks of Software Engineering. It refers to the ability to not only comprehend and generate natural language but also to generate functional as well as contextually relevant programming code based on provided requirements."
"doi:10.1016/j.infsof.2025.107751","CAP_DEBUGGING","Code analysis refers to the process of utilizing GenAI to examine existing code. The primary reported application is the identification of errors and the recommendation of corresponding optimizations."
"doi:10.1016/j.infsof.2025.107751","CAP_TESTING","Another option to integrate GenAI for error identification is the automatic generation of context-specific test cases."
"doi:10.1016/j.infsof.2025.107751","CAP_CODEREVIEW","Code refinement builds upon the identification of errors and generation of test cases by leveraging GenAI's advanced reasoning capabilities to scan the code for other weaknesses and suggesting potential improvements."
"doi:10.1016/j.infsof.2025.107751","CAP_PLANNING","Assisted planning is a useful use case for integrating GenAI in Software Engineering, in which the conceptualization capabilities of employed LLMs are leveraged to facilitate ideation and planning tasks."
"doi:10.1145/3726302.3729960","CAP_CODESUM","LLM summarizes long evidence texts into concise points (mapped as an analog for code summarisation)."
"doi:10.1145/3708518","CAP_CODEREVIEW","ChatGPT was utilised to generate and transform specific types of explanations for code review comments based on provided snippets, existing comments, and context."
"doi:10.1145/3696630.3728533","CAP_CODEGEN","For example, 'code' is a predominant output format in the 'Coding & Debugging' tasks, often appearing as the result of tasks such as code generation..."
"doi:10.1145/3696630.3728533","CAP_DEBUGGING","often appearing as the result of tasks such as code generation, bug fixing, and code summarization."
"doi:10.1145/3708319.3733810","CAP_REQENG","ELIAS enables researchers across disciplines to conduct empathetic, structured and low-bias interviews efficiently. ... Positive comments frequently mentioned ELIA’s ability to accurately summarize potentially unstructured answers"
"doi:10.3390/app15126836","CAP_CODEGEN","participants were instructed to rely exclusively on LLMs for writing code, based on a given set of specifications; Feature Implementation (FI)"
"doi:10.3390/app15126836","CAP_DEBUGGING","students who queried LLMs for error fixing (EF) were statistically more likely to have runnable code"
"doi:10.3390/app15126836","CAP_DOCGEN","Documentation (DOC)"
"doi:10.3390/app15126836","CAP_REFACTORING","Code Optimization (CO)"
"doi:10.15587/2706-5448.2025.326899","CAP_REFACTORING","The research involved multiple experiments, where four AI tools – ChatGPT, Copilot, Gemini, and Claude – were tested on various refactoring tasks, including code smell detection, efficiency improvements, decoupling, and large-scale refactoring."
"doi:10.1007/s10664-025-10614-4","CAP_CODEGEN","Participants used LLMs (like ChatGPT, Copilot, Codex, etc.) to generate Python functions and reported frequently experiencing bugs."
"doi:10.1007/s10664-025-10614-4","CAP_DEBUGGING","Participants combined manual inspection with re-prompting the LLMs to correct generated mistakes."
"doi:10.1145/3712005","CAP_REQENG","The powerful capabilities of LLMs in natural language processing can effectively mitigate expression uncertainties, thereby beneficial for addressing the challenges encountered during the requirements and design stages."
"doi:10.1145/3712005","CAP_CODEGEN","During the software development cycle, the advent of code generation technologies powered by LLMs has greatly improved development efficiency and code quality, allowing developers to address business challenges instead of engaging in monotonous coding tasks."
"doi:10.1145/3712005","CAP_TESTING","The remarkable performance capability of LLMs offers new opportunities for research in software testing, especially unit test generation."
"doi:10.1145/3712005","CAP_CODEREVIEW","The rapid development of LLMs has brought new opportunities for automating code review with some human intervention and guidance."
"doi:10.1145/3712005","CAP_VULNDET","The major scenarios of vulnerability management applications include perception, validation, explanation, analysis, and remediation for vulnerability scenarios [80]."
"doi:10.1145/3724363.3729096","CAP_DEBUGGING","students teach an LLM-powered 'debug duck' ... 45% requesting the default option of code debugging exercises"
"doi:10.1016/j.caeai.2024.100347","CAP_MULTIAGENT","More specifically, the cloud layer of ITEM is comprised of four AI models-ChatGPT, Scorer, Facebook's Wit.AI, and OpenAI's Whisper.AI-that are used as API in the ITEM. Our cloud layer incorporates parallel processing"
"doi:10.1007/s10515-025-00492-x","CAP_PROGREPAIR","The paper evaluates ChatGPT's ability to repair deep learning programs, demonstrating that enhanced prompts and dialogue significantly increase the number of correctly repaired faults from 16 to 43 and then to 55."
"doi:10.1007/s10515-025-00492-x","CAP_DEBUGGING","The study splits the debugging task into fault detection, fault localization, and program repair, finding that ChatGPT can successfully detect and localize faults, though often requiring code intention information for optimal performance."
"doi:10.1145/3706598.3713852","CAP_CODEGEN","Given the user’s chat messages and daily wearable data (organized as a dataframe) as input, the agent leverages the LLM’s capabilities to generate Python code for data retrieval, transform, and analysis."
"doi:10.1145/3706598.3713852","CAP_MULTIAGENT","HEALTHGURU is built on a multi-agent architecture (Figure 1) that processes user inputs, integrates contextual data, and generates personalized, theory-guided responses to promote behavior change and improve sleep health."
"doi:10.1145/3722229","CAP_CODEREVIEW","Abstract mentions students acknowledge the potential of using ChatGPT during code review and carried out a code review activity of 1,658 rules."
"doi:10.1145/3722229","CAP_DEBUGGING","Abstract mentions fostering a culture of bug fixing and that ChatGPT was compared against PMD for detecting quality/bug issues."
"doi:10.1145/3706598.3713705","CAP_SELFREFLECT","Care-Pilot features an Emo-Reframe component that encourages workers to cognitively re-evaluate negative interactions, supporting self-reflection on their responses and emotional state."
"doi:10.1145/3706598.3713989","CAP_CODEGEN","The study tasked developers with implementing a user registration feature using a manipulated ChatGPT assistant that suggested insecure password hashing (MD5) code."
"doi:10.1145/3706598.3713581","CAP_DEBUGGING","The paper introduces AGDebugger, a system specifically designed for debugging multi-agent AI systems via checkpoints and message editing."
"doi:10.1145/3706598.3713581","CAP_MULTIAGENT","The system monitors and controls multi-agent interactions, specifically evaluating a team of agents that collaborate to solve GAIA benchmark tasks."
"doi:10.1145/3706599.3706670","CAP_CODEGEN","supported code generation from natural language"
"doi:10.1145/3706599.3706670","CAP_CODECOMP","code autocompletion"
"doi:10.1145/3706599.3706670","CAP_TESTING","unit test generation"
"doi:10.1145/3706599.3706670","CAP_DOCGEN","documentation"
"doi:10.1145/3706599.3706670","CAP_CODESUM","code explanation"
"doi:10.1145/3706598.3713600","CAP_TESTING","The agent operates the smartphone apps autonomously, mimicking user interactions, functioning effectively as an automated UI testing/navigation system."
"doi:10.1145/3706598.3713600","CAP_SELFREFLECT","When a UI element is acted upon multiple times, the agent will update the document based on past documents and current observations to improve quality."
"doi:10.1145/3706598.3714008","CAP_CODEGEN","It [AI assistant] was a couple steps ahead of me. [...] So when it [AI assistant] made it a constructor and just transformed it into month, day, year..."
"doi:10.1145/3706598.3714008","CAP_DOCGEN","I love having it generate docstrings for me."
"doi:10.1145/3706598.3714008","CAP_TESTING","We also asked participants to write unit tests for their class."
"doi:10.1145/3706598.3714008","CAP_DEBUGGING","Debugging Task: We then asked participants to engage in a debugging session, where they identified and fixed errors in the code generated by Copilot."
"doi:10.1145/3706598.3714008","CAP_CODECOMP","Another key interaction method is through ghost text suggestions... As the developer types, Copilot continuously analyzes the context and generates relevant code suggestions in real-time."
"doi:10.3390/electronics14071463","CAP_TESTING","This study leverages the Llama-2 large language model (LLM) to automate unit test generation for Java focal methods, demonstrating the potential of AI-driven approaches to optimize software testing workflows."
"doi:10.1145/3706599.3720193","CAP_CODECOMP","(iv) GPT3-Continuation: This option continues the story based on the selected content by running GPT-3’s text completion function (text-davanci-003)."
"doi:10.1145/3706599.3720193","CAP_DOCGEN","Inspo, a text editor that allows writers to request suggestions from both AI models and online crowd workers... Writers using Inspo can select a portion of their draft and request suggestions from four different sources"
"doi:10.1145/3716640.3716657","CAP_CODEGEN","A significant portion of conversations (37.09% ; 9.71% of prompts) involved students copying assignment descriptions to get direct solutions."
"doi:10.1145/3716640.3716657","CAP_DEBUGGING","A prominent portion (11.52%) of the prompts involved students providing error stack traces."
"doi:10.1145/3716640.3716657","CAP_CODEREVIEW","7.59% of prompts involved students submitting functional code for the LLM to review, seeking identification of potential bugs or poor coding practices."
"doi:10.1145/3716640.3716657","CAP_SYSDESIGN","Students seldom (2.67% of prompts) used LLMs to discuss high-level implementation strategies, including brainstorming code structure and evaluating architectural suitability (e.g., Pub-Sub models)."
"doi:10.1145/3716640.3716657","CAP_DOCGEN","Generating code documentation accounted for 0.94% of the prompts... Students mostly used LLMs for generating README files"
"doi:10.9781/ijimai.2025.09.005","CAP_SYSDESIGN","designing and implementing RESTful APIs DSLs"
"doi:10.9781/ijimai.2025.09.005","CAP_CODEGEN","designing and implementing RESTful APIs DSLs"
"doi:10.1145/3641554.3701800","CAP_CODEGEN","Abstract explicitly mentions 'students ask Copilot to implement the entire feature at once' and references 'code generation features of Copilot'."
"doi:10.1145/3641554.3701800","CAP_DEBUGGING","Abstract explicitly mentions 'asking Copilot to debug the code'."
"doi:10.51983/ijiss-2025.ijiss.15.2.46","CAP_CODEGEN","Our architecture integrates Oracle APEX's RESTful interfaces with external LLMs through a modular API orchestration layer to enable effortless generation of accurate deployable code."
"doi:10.51983/ijiss-2025.ijiss.15.2.46","CAP_DEBUGGING","These improvements stem from the less effort required for planning the code, lesser syntax errors, and quicker debugging owing to clearer suggestion logic structuring."
"doi:10.51983/ijiss-2025.ijiss.15.2.46","CAP_CODEREVIEW","code reviewers were able to validate, debug, and refactor submissions with far less effort. This reduction in ambiguity improved peer review processes."
"doi:10.51983/ijiss-2025.ijiss.15.2.46","CAP_REFACTORING","The refactor score on a scale of 1-5, described the level of ease for a developer to adapt and optimize the code for production."
"doi:10.1115/1.4067318","CAP_SYSDESIGN","focusing on concept generation and detailed modeling. By comparing outcomes from artificial intelligence (AI)-assisted groups to those without AI assistance..."
"doi:10.1145/3641554.3701841","CAP_PROGREPAIR","we utilized ChatGPT 3.5 to fix identified accessibility issues"
"doi:10.1007/s10664-024-10594-x","CAP_DEBUGGING","AutoSDprompts an LLM to automatically generate hypotheses about what is causing the bug, along with a debugger script that would test the hypotheses."
"doi:10.1007/s10664-024-10594-x","CAP_PROGREPAIR","Our empirical analysis on three program repair benchmarks shows that AutoSDperforms competitively with other program repair baselines"
"doi:10.1007/s10664-024-10594-x","CAP_CODEREVIEW","we perform a human study by asking participants to review patches... participants are given the buggy code, a bug-revealing test, a candidate patch, and half of the time an explanation"
"doi:10.1145/3697010","CAP_CODEGEN","This article presents the first systematic empirical study on the threat of non-determinism of ChatGPT in code generation tasks... We conduct a series of experiments using the ChatGPT models on three widely-studied code generation benchmarks (i.e. CodeContests, APPS, and HumanEval) with 829 coding problems."
"doi:10.1109/ase63991.2025.00046","CAP_TESTING","automate method-level obsolete test code updates"
"doi:10.24251/hicss.2025.883","CAP_CODECOMP","Many developers used the autocomplete function in Copilot. This meant that Copilot would provide a suggestion for the rest of a line of code as soon as a developer started writing code."
"doi:10.24251/hicss.2025.883","CAP_CODEGEN","Developers often added comments to their code to guide Copilot in generating relevant suggestions, enhancing the accuracy and relevance of these suggestions before accepting them."
"doi:10.24251/hicss.2025.883","CAP_DEBUGGING","For example, in one instance, a less experienced developer wasted time troubleshooting a function that could not be compiled."
"doi:10.1145/3641554.3701913","CAP_CODEREVIEW","Given a problem statement, student code submissions and a grading rubric, TA Buddy can be asked to generate suggested grades, i.e. ratings for the various rubric criteria, for each submission."
"doi:10.1109/ase63991.2025.00022","CAP_CODECOMP","developers tend to accept GitHub Copilot’s suggestions with less scrutiny"
"doi:10.1109/ase63991.2025.00031","CAP_TESTING","LLMs generated oracles with average mutation score of 43%—similar to the 45% score of human-designed test oracles."
"doi:10.1109/ase63991.2025.00315","CAP_CODEREVIEW","SGCR explicitly automates code review by providing comments on code changes during PRs: 'All generated comments from both systems were presented to developers through the standard pull request interface.'"
"doi:10.7764/ric.00164.21","CAP_PLANNING","The AI agent generates structured maintenance tickets from unstructured communications, which are subsequently used for scheduling, resource allocation, and operational tracking."
"doi:10.1109/iaict65714.2025.11101520","CAP_TESTING","The tools generated unit test cases with at least 85% coverage for complex scenarios."
